engagement_x,engagement_y,monthly_spend,visits,segment
-0.169,-2.549,22.59,4,Outer segment
0.181,2.555,58.68,14,Outer segment
-2.218,-0.663,13.06,4,Outer segment
-1.29,-2.253,15.36,3,Outer segment
2.572,-0.189,68.91,5,Outer segment
-0.039,-0.992,24.42,6,Inner segment
0.674,0.635,52.97,8,Inner segment
-1.148,0.149,34.64,9,Inner segment
-1.444,-0.945,22.96,3,Outer segment
1.468,1.706,81.25,11,Outer segment
-2.584,1.22,35.0,12,Outer segment
-0.516,2.189,57.25,14,Outer segment
0.813,0.714,68.72,8,Inner segment
-1.957,0.121,27.61,8,Outer segment
1.414,2.712,90.2,14,Outer segment
-1.089,-0.492,41.94,10,Inner segment
0.368,1.262,63.65,8,Inner segment
0.074,-0.89,45.5,4,Inner segment
0.285,0.846,52.06,15,Inner segment
1.742,-1.153,58.7,5,Outer segment
2.08,0.289,69.33,5,Outer segment
-2.675,-0.342,15.2,6,Outer segment
-0.436,0.788,39.45,4,Inner segment
0.391,1.686,58.47,12,Outer segment
-2.406,0.344,1.71,10,Outer segment
0.293,-0.691,56.43,5,Inner segment
2.574,-1.456,65.61,4,Outer segment
-0.355,1.176,50.99,12,Inner segment
0.816,0.67,69.01,6,Inner segment
-0.107,-0.963,40.04,3,Inner segment
-0.683,-0.568,43.51,6,Inner segment
0.697,1.815,55.56,10,Outer segment
-0.08,-0.856,55.69,6,Inner segment
-1.127,-0.095,38.52,5,Inner segment
-1.005,-1.132,27.61,6,Inner segment
-0.761,0.823,50.78,9,Inner segment
-0.893,0.527,29.26,10,Inner segment
0.238,0.506,48.87,9,Inner segment
0.137,-3.093,38.2,2,Outer segment
0.355,1.139,43.02,7,Inner segment
0.802,-2.981,40.67,3,Outer segment
-0.166,0.234,48.14,8,Inner segment
0.208,-1.638,51.45,4,Outer segment
1.977,-0.018,57.54,10,Outer segment
-0.156,0.362,56.57,7,Inner segment
-1.519,0.216,24.15,11,Inner segment
-1.919,-1.206,11.6,8,Outer segment
0.859,-0.363,44.58,9,Inner segment
-1.565,1.251,26.12,9,Outer segment
0.056,-0.052,48.19,4,Inner segment
0.617,0.725,48.96,12,Inner segment
-1.571,1.599,40.92,11,Outer segment
2.526,0.759,75.22,8,Outer segment
-0.132,-1.083,28.43,8,Inner segment
1.451,1.791,69.46,10,Outer segment
-0.268,2.654,60.06,12,Outer segment
0.129,-0.978,38.74,7,Inner segment
-1.368,-0.163,27.85,5,Inner segment
1.234,0.052,64.99,8,Inner segment
0.525,0.001,58.88,10,Inner segment
-2.301,-0.166,14.23,8,Outer segment
-0.334,0.85,38.78,12,Inner segment
0.333,0.114,50.21,10,Inner segment
-1.761,-1.636,17.34,5,Outer segment
0.297,2.466,53.14,8,Outer segment
-1.953,-1.353,7.21,3,Outer segment
-1.571,1.395,29.48,12,Outer segment
0.616,0.953,56.65,7,Inner segment
1.215,1.311,62.12,10,Outer segment
0.092,0.862,56.22,10,Inner segment
0.374,0.152,39.16,11,Inner segment
0.002,0.735,38.37,8,Inner segment
2.003,-1.361,58.53,4,Outer segment
0.859,-1.705,43.85,4,Outer segment
-0.723,0.716,30.44,10,Inner segment
-2.389,-1.428,3.52,5,Outer segment
-1.995,-0.851,13.14,8,Outer segment
0.377,-0.909,41.32,5,Inner segment
0.275,2.73,65.75,14,Outer segment
-0.078,0.91,44.9,11,Inner segment
-0.837,2.155,58.23,12,Outer segment
0.69,0.095,57.27,10,Inner segment
-0.35,0.634,38.95,10,Inner segment
0.69,-0.864,48.75,8,Inner segment
0.888,-0.484,53.61,7,Inner segment
1.439,1.236,78.18,11,Outer segment
-0.762,0.415,34.14,8,Inner segment
-0.637,0.421,45.25,8,Inner segment
-2.782,0.129,12.68,11,Outer segment
-2.561,-0.864,19.52,8,Outer segment
2.491,0.377,86.2,7,Outer segment
0.604,-1.044,47.36,6,Inner segment
1.099,-0.35,54.25,3,Inner segment
-0.66,-0.855,35.5,5,Inner segment
-1.459,-2.521,11.1,5,Outer segment
-1.796,-0.376,32.95,7,Outer segment
-1.009,1.927,45.0,12,Outer segment
1.671,2.559,77.57,7,Outer segment
-0.474,-0.345,34.02,7,Inner segment
2.222,0.602,66.79,10,Outer segment
0.452,-1.044,48.06,7,Inner segment
-1.343,0.627,26.91,11,Inner segment
-0.919,0.458,44.4,8,Inner segment
-0.141,0.603,37.87,9,Inner segment
2.848,-0.47,77.25,4,Outer segment
0.412,0.93,63.57,9,Inner segment
1.791,2.272,65.05,10,Outer segment
1.355,2.464,90.17,9,Outer segment
-1.391,-2.398,10.95,1,Outer segment
2.392,-0.188,73.56,11,Outer segment
0.026,0.93,54.89,9,Inner segment
0.583,-0.465,54.29,8,Inner segment
-0.381,0.614,46.03,8,Inner segment
-0.108,-0.199,49.49,4,Inner segment
2.213,0.702,79.4,11,Outer segment
-1.282,-0.004,41.92,4,Inner segment
-0.734,-0.79,35.11,5,Inner segment
-0.906,-0.178,46.81,8,Inner segment
0.261,0.736,58.86,10,Inner segment
1.179,-1.888,35.18,3,Outer segment
0.934,-0.233,73.09,4,Inner segment
-1.944,0.491,20.6,7,Outer segment
-1.359,-1.342,31.11,4,Outer segment
0.743,-2.479,39.22,1,Outer segment
0.094,0.815,58.45,12,Inner segment
1.713,-2.173,47.69,1,Outer segment
-0.179,0.971,53.05,11,Inner segment
0.192,-1.515,36.44,5,Inner segment
1.76,1.533,86.37,13,Outer segment
-0.499,2.365,56.27,12,Outer segment
-0.798,-0.179,40.91,9,Inner segment
-1.998,-0.269,4.26,7,Outer segment
0.676,-0.803,47.69,7,Inner segment
2.386,-0.123,75.77,5,Outer segment
2.274,1.671,83.87,6,Outer segment
-0.595,2.632,60.38,14,Outer segment
-1.404,1.873,36.83,13,Outer segment
-2.728,0.391,14.95,10,Outer segment
-1.962,-0.002,29.72,7,Outer segment
1.115,-1.392,34.08,8,Outer segment
0.223,-2.362,37.63,2,Outer segment
0.763,0.06,52.18,9,Inner segment
-2.47,0.562,12.35,10,Outer segment
-0.548,-0.461,38.02,11,Inner segment
-1.804,0.5,34.94,8,Outer segment
0.72,0.622,64.65,8,Inner segment
-1.227,0.692,33.49,6,Inner segment
-2.356,1.272,30.5,14,Outer segment
0.432,0.764,60.85,10,Inner segment
-0.157,-0.457,39.76,8,Inner segment
-0.87,1.826,40.66,18,Outer segment
-0.895,-0.541,26.56,8,Inner segment
-0.247,0.045,48.17,5,Inner segment
0.822,-0.74,50.13,6,Inner segment
0.765,0.823,51.8,8,Inner segment
0.994,0.749,49.63,9,Inner segment
-0.484,0.926,50.57,9,Inner segment
-0.992,0.32,31.19,7,Inner segment
-0.364,0.911,48.41,7,Inner segment
0.076,-1.111,47.92,9,Inner segment
0.165,2.046,50.1,13,Outer segment
2.121,1.223,77.48,10,Outer segment
-0.703,0.253,36.88,10,Inner segment
0.143,-1.058,43.03,7,Inner segment
1.438,-1.622,61.2,5,Outer segment
-0.321,-2.162,18.87,5,Outer segment
-1.085,-0.52,32.85,7,Inner segment
-0.215,-1.303,41.83,7,Inner segment
-0.293,-0.569,36.77,8,Inner segment
0.102,3.182,64.35,15,Outer segment
-2.154,-0.816,17.18,6,Outer segment
0.203,-2.298,36.06,6,Outer segment
-0.278,1.023,51.88,9,Inner segment
-0.102,-0.257,46.17,8,Inner segment
-1.568,0.41,21.78,10,Inner segment
-0.896,0.273,42.82,7,Inner segment
0.753,0.078,62.67,7,Inner segment
-1.15,-2.033,20.31,3,Outer segment
0.632,-0.694,37.96,6,Inner segment
1.715,2.123,77.51,9,Outer segment
-0.52,0.53,43.3,8,Inner segment
1.173,0.493,54.02,10,Inner segment
1.803,0.306,65.94,11,Outer segment
2.4,-0.271,62.31,9,Outer segment
-1.022,0.029,37.16,3,Inner segment
-1.186,1.532,41.12,12,Outer segment
-0.136,0.734,36.25,8,Inner segment
1.259,-0.345,60.5,8,Inner segment
-0.019,1.774,55.02,12,Inner segment
-0.185,-1.045,40.13,6,Inner segment
-0.658,3.022,52.5,14,Outer segment
0.959,0.356,53.03,9,Inner segment
-1.132,-2.295,12.26,6,Outer segment
2.58,0.239,73.63,8,Outer segment
-0.372,-0.672,36.63,9,Inner segment
0.103,0.333,49.27,11,Inner segment
-0.027,-0.77,38.72,8,Inner segment
0.587,-3.016,30.99,1,Outer segment
-0.47,-2.781,20.21,5,Outer segment
1.976,0.104,86.9,7,Outer segment
-0.317,-0.892,30.45,8,Inner segment
0.513,-0.172,46.21,6,Inner segment
-0.008,2.687,84.08,11,Outer segment
-0.252,1.448,53.61,15,Inner segment
1.095,-2.302,34.66,1,Outer segment
0.48,0.82,61.58,12,Inner segment
-0.479,-0.816,27.99,7,Inner segment
0.201,-1.618,44.06,4,Outer segment
0.82,0.091,53.91,8,Inner segment
-1.893,-0.848,14.11,4,Outer segment
-1.407,-0.708,35.13,7,Inner segment
-1.016,2.684,52.88,11,Outer segment
2.055,-1.845,65.4,4,Outer segment
1.274,2.153,76.26,14,Outer segment
-1.48,1.565,33.52,12,Outer segment
1.541,-1.83,56.79,1,Outer segment
1.122,2.399,81.32,15,Outer segment
0.443,-0.869,46.04,6,Inner segment
0.749,0.27,68.22,7,Inner segment
-2.586,0.183,21.01,10,Outer segment
0.448,0.242,53.31,8,Inner segment
-0.376,-0.817,37.35,4,Inner segment
0.434,-2.081,38.68,8,Outer segment
0.262,-0.344,37.32,7,Inner segment
2.141,-0.118,69.36,8,Outer segment
-1.095,-2.209,20.16,3,Outer segment
0.086,-1.014,37.04,8,Inner segment
-2.363,-0.177,17.95,7,Outer segment
0.939,-0.689,52.28,4,Inner segment
-2.056,-2.571,10.32,2,Outer segment
1.694,-1.527,60.81,8,Outer segment
0.212,0.859,53.87,11,Inner segment
-1.019,-0.209,21.95,7,Inner segment
-0.149,-0.983,49.85,9,Inner segment
0.28,0.951,53.08,11,Inner segment
-0.107,0.686,47.27,9,Inner segment
2.419,-0.397,69.25,7,Outer segment
-0.406,0.171,37.74,9,Inner segment
0.993,2.262,81.3,11,Outer segment
-0.517,0.617,52.2,9,Inner segment
-1.825,1.573,35.65,12,Outer segment
-0.899,-1.096,26.89,2,Inner segment
0.827,-0.153,58.34,7,Inner segment
2.479,-0.438,72.63,7,Outer segment
-0.293,-0.397,37.77,9,Inner segment
-0.362,-2.072,30.59,1,Outer segment
-0.34,0.816,42.73,9,Inner segment
1.441,-2.144,51.19,3,Outer segment
0.624,2.946,71.59,16,Outer segment
2.045,1.817,84.66,12,Outer segment
1.264,0.025,55.98,12,Inner segment
0.35,-0.412,51.7,9,Inner segment
-0.286,0.77,39.84,9,Inner segment
-0.349,-0.605,33.17,7,Inner segment
-0.804,-0.009,31.6,7,Inner segment
-0.665,1.882,40.8,13,Outer segment
-0.407,1.691,57.37,9,Outer segment
1.318,1.769,64.65,10,Outer segment
-1.337,-0.321,22.13,8,Inner segment
-1.247,0.396,41.2,11,Inner segment
-2.696,-0.232,7.26,3,Outer segment
0.286,1.311,54.98,13,Inner segment
1.083,-0.394,48.55,7,Inner segment
-0.641,-0.726,38.78,3,Inner segment
2.038,-1.268,67.78,1,Outer segment
1.968,1.666,83.79,8,Outer segment
-0.79,-0.837,34.27,6,Inner segment
0.184,-0.363,45.55,7,Inner segment
-0.217,0.595,42.3,10,Inner segment
0.533,0.841,50.73,9,Inner segment
-0.385,1.782,60.1,9,Outer segment
-0.17,0.74,52.76,9,Inner segment
-1.758,0.866,24.25,10,Outer segment
-0.738,1.277,44.08,11,Inner segment
-0.092,1.295,49.57,9,Inner segment
-1.55,-2.337,4.48,5,Outer segment
0.615,0.174,54.66,7,Inner segment
-1.399,2.463,40.08,11,Outer segment
-0.065,-0.738,33.12,5,Inner segment
1.054,1.554,56.62,13,Outer segment
0.143,1.039,42.0,10,Inner segment
0.312,1.167,53.14,9,Inner segment
2.199,0.226,72.15,10,Outer segment
-1.268,0.063,24.03,12,Inner segment
0.752,0.291,60.32,9,Inner segment
-0.315,2.208,54.01,15,Outer segment
2.349,-0.073,76.79,10,Outer segment
2.019,-1.202,60.73,4,Outer segment
0.611,2.447,61.5,13,Outer segment
-0.495,2.157,52.8,10,Outer segment
-2.119,0.396,13.11,8,Outer segment
1.309,-2.03,52.3,3,Outer segment
0.518,-1.302,36.84,5,Inner segment
0.863,1.035,67.99,9,Inner segment
1.501,1.458,69.39,10,Outer segment
-2.155,1.25,34.08,12,Outer segment
0.578,-0.785,39.37,6,Inner segment
0.439,-0.413,43.05,3,Inner segment
0.661,0.64,59.44,8,Inner segment
-2.153,-1.106,20.72,3,Outer segment
1.271,1.608,81.57,12,Outer segment
-0.708,-1.361,28.63,6,Inner segment
2.325,-1.434,77.16,6,Outer segment
-2.463,0.646,17.29,8,Outer segment
2.049,1.285,84.99,11,Outer segment
-1.267,-0.679,19.13,6,Inner segment
-2.153,1.486,31.02,9,Outer segment
0.793,-2.296,24.34,5,Outer segment
-1.627,2.374,31.87,14,Outer segment
0.74,-0.368,54.94,9,Inner segment
-0.23,1.777,43.71,10,Outer segment
1.283,2.042,75.63,14,Outer segment
-0.273,0.758,52.61,9,Inner segment
0.99,0.403,55.79,10,Inner segment
-0.409,2.228,46.68,11,Outer segment
-1.219,-1.644,17.18,4,Outer segment
0.787,0.655,51.61,4,Inner segment
0.645,0.675,56.08,9,Inner segment
1.082,1.063,65.08,10,Inner segment
2.274,1.163,77.13,10,Outer segment
1.332,-1.11,66.04,9,Outer segment
0.73,-0.326,46.77,5,Inner segment
1.171,0.405,71.22,8,Inner segment
-0.022,-1.286,29.73,4,Inner segment
0.024,-1.26,38.23,4,Inner segment
2.565,-0.101,83.45,10,Outer segment
-1.201,1.662,48.48,14,Outer segment
-0.186,0.711,44.09,8,Inner segment
-1.05,0.33,38.26,7,Inner segment
0.566,-0.762,50.17,4,Inner segment
-0.154,-2.723,23.03,5,Outer segment
-2.991,0.511,16.48,11,Outer segment
-0.027,2.545,72.99,13,Outer segment
0.074,-0.892,43.84,3,Inner segment
1.477,-1.834,55.68,2,Outer segment
-0.819,0.66,43.84,10,Inner segment
-1.31,-1.956,7.32,5,Outer segment
-1.819,1.456,35.13,7,Outer segment
-0.659,0.112,30.64,8,Inner segment
-1.987,-0.176,15.98,11,Outer segment
-0.072,-1.1,52.67,5,Inner segment
2.678,-0.676,71.31,10,Outer segment
-0.946,0.311,30.34,10,Inner segment
-0.524,0.623,50.52,7,Inner segment
-0.77,0.708,33.37,9,Inner segment
0.377,0.567,49.79,9,Inner segment
-0.157,0.913,57.34,8,Inner segment
0.626,0.326,54.76,7,Inner segment
-2.351,1.222,13.2,13,Outer segment
0.551,0.531,58.61,7,Inner segment
-0.175,0.551,43.44,11,Inner segment
0.402,-2.136,47.78,3,Outer segment
-0.012,2.22,53.94,12,Outer segment
-0.753,-0.693,39.17,8,Inner segment
0.35,-0.043,61.37,7,Inner segment
-1.607,-0.738,15.34,8,Inner segment
0.851,2.273,67.5,8,Outer segment
-0.116,0.163,47.3,9,Inner segment
-2.025,-1.478,5.83,1,Outer segment
-0.474,0.057,41.55,8,Inner segment
0.801,0.857,58.18,11,Inner segment
-2.614,0.536,15.13,10,Outer segment
-2.68,-1.077,6.72,3,Outer segment
-0.145,2.271,57.39,10,Outer segment
-0.122,-0.068,44.27,6,Inner segment
0.856,0.685,55.19,10,Inner segment
-0.229,0.381,40.65,5,Inner segment
0.171,-1.104,39.6,6,Inner segment
-0.071,0.797,48.61,10,Inner segment
-1.533,-1.269,15.92,5,Outer segment
-1.927,1.068,30.55,11,Outer segment
-0.829,2.0,34.34,12,Outer segment
0.329,-0.002,43.83,7,Inner segment
-0.747,1.066,40.47,6,Inner segment
0.423,2.531,59.27,13,Outer segment
0.471,-0.452,59.35,5,Inner segment
-0.168,-1.674,33.07,3,Outer segment
-0.405,-0.794,36.62,7,Inner segment
1.957,0.657,69.04,12,Outer segment
1.412,1.716,72.13,11,Outer segment
-1.403,-1.924,8.12,5,Outer segment
0.714,2.823,69.31,11,Outer segment
0.636,2.48,60.95,13,Outer segment
0.222,-1.13,38.94,6,Inner segment
-0.595,2.558,35.29,16,Outer segment
2.44,1.28,74.06,9,Outer segment
1.742,0.456,78.89,8,Outer segment
-0.807,0.294,42.89,11,Inner segment
-0.915,-0.969,37.45,6,Inner segment
1.474,-1.308,64.55,3,Outer segment
2.079,1.536,83.88,16,Outer segment
0.113,0.658,47.14,7,Inner segment
-0.599,-0.142,29.7,8,Inner segment
-0.393,0.429,50.89,10,Inner segment
-0.817,-0.127,34.89,8,Inner segment
1.156,-0.613,72.66,6,Inner segment
-0.839,-0.141,31.53,7,Inner segment
-0.742,0.502,52.92,9,Inner segment
