income,savings,debt_ratio,payment_history,transaction_volatility,account_age_years,credit_rating
110026.68,16198.27,0.3336,52.17,9.05,12.91,1
113439.86,30037.4,0.3224,91.24,41.89,5.96,1
51005.58,14317.23,0.5239,60.15,18.15,3.22,0
46823.94,11957.41,0.1509,61.51,21.26,8.32,0
101609.78,6116.93,0.4411,69.52,10.54,4.0,1
34548.84,14730.57,0.3287,56.07,2.86,8.75,1
37771.24,15296.88,0.274,53.6,14.89,3.12,0
72062.26,0.0,0.2566,71.24,5.24,6.22,1
46599.93,2643.21,0.2964,58.63,4.81,9.48,0
54881.81,14447.44,0.2107,60.88,13.71,4.15,1
51351.14,5231.03,0.4255,60.28,5.57,4.14,0
63377.85,11626.64,0.4735,79.84,12.61,1.68,0
99332.77,14501.39,0.1289,68.52,7.55,3.19,1
57132.83,9409.74,0.2757,69.32,12.3,5.89,0
72080.78,13284.77,0.1273,80.95,8.6,6.44,1
23248.97,4999.75,0.4728,69.87,12.54,7.01,0
53886.04,4406.47,0.4299,67.83,32.04,1.21,0
38597.07,3009.83,0.5813,79.06,21.58,4.02,0
32964.52,5105.39,0.8147,82.02,11.55,1.83,0
38035.09,18263.13,0.4762,69.79,28.81,5.71,0
47798.84,13653.05,0.4736,73.21,16.9,1.44,0
80802.85,19341.68,0.4793,60.27,27.54,2.25,1
31508.21,6888.04,0.2351,59.09,3.64,7.8,0
55712.16,6540.49,0.6057,83.54,5.63,3.44,0
44879.54,6431.77,0.5482,78.67,14.77,10.56,0
47928.51,0.0,0.3022,78.83,11.34,7.12,0
83804.9,2574.91,0.3481,76.21,12.56,4.16,0
68947.25,0.0,0.4009,72.69,18.8,8.53,1
96451.51,12438.12,0.4918,82.45,14.87,4.39,1
51544.26,4101.7,0.666,86.03,22.97,7.54,0
41060.12,12093.67,0.7704,85.67,22.56,3.08,0
50064.52,9973.3,0.1423,70.49,5.85,8.82,1
60896.87,22859.53,0.3266,92.8,1.39,1.55,1
59233.9,4370.06,0.2291,75.43,5.54,2.25,1
34879.18,7948.08,0.1702,81.49,5.23,2.53,1
57130.54,3896.1,0.056,76.23,13.25,3.3,1
60533.03,20734.53,0.0544,75.71,13.13,6.02,1
158328.55,34243.69,0.1641,60.96,10.84,4.92,1
120977.9,25759.54,0.0375,82.52,17.35,7.59,1
38435.1,8099.99,0.172,100.0,53.76,9.56,1
48746.44,9027.14,0.5386,66.38,10.67,1.42,0
29745.79,5718.78,0.1886,73.06,15.2,10.23,1
42915.64,4489.11,0.1172,65.31,12.56,4.33,0
62795.74,9630.83,0.4657,64.68,8.01,12.77,1
91267.22,16293.06,0.504,95.17,18.92,2.99,1
40492.55,11238.74,0.5182,61.91,10.28,1.1,0
41787.27,6082.11,0.4651,64.89,6.71,7.17,0
22319.75,7405.96,0.7403,48.19,7.12,6.9,0
51367.9,16188.08,0.1481,60.64,23.52,2.29,1
35202.57,6922.61,0.2574,46.37,18.61,2.46,0
44034.29,9601.97,0.4913,81.48,8.72,7.93,0
38055.73,17003.88,0.5009,100.0,17.15,6.2,1
52865.07,10847.84,0.0412,66.5,12.67,4.06,1
26287.33,12404.05,0.5656,47.0,15.39,6.58,0
29700.81,996.03,0.2981,85.5,7.84,5.83,1
134507.1,29655.53,0.5066,61.1,5.38,2.65,1
32028.17,10017.36,0.3658,91.49,10.24,8.28,1
34698.04,10563.13,0.5106,67.77,6.19,7.35,0
118965.9,17699.43,0.1935,62.52,5.81,4.99,1
186319.21,26690.98,0.3472,69.33,3.84,7.93,1
33625.18,0.0,0.4479,83.37,1.4,13.69,0
47118.64,14429.6,0.2121,68.59,8.84,2.44,1
63483.91,18153.1,0.3442,64.55,26.44,4.18,0
113679.85,9025.18,0.4414,69.02,22.27,4.31,1
36337.61,14884.17,0.1514,52.92,35.15,7.83,0
49616.16,13374.45,0.2167,77.96,5.6,3.28,1
76234.56,17931.78,0.4727,45.2,19.76,7.57,1
66018.5,12292.66,0.406,65.34,11.51,3.54,0
46962.42,12651.33,0.0728,83.39,7.13,2.24,1
51993.96,20975.42,0.3058,76.55,24.49,5.17,1
30872.84,6225.99,0.1201,80.85,11.6,3.49,1
49764.42,19312.54,0.4188,71.02,2.49,5.49,1
49178.2,12994.12,0.0653,89.55,22.11,6.31,1
60633.32,18923.2,0.3005,85.87,16.35,1.5,1
43558.1,9399.06,0.1904,78.69,13.8,3.76,0
67046.03,14603.76,0.151,85.91,4.68,5.17,1
84156.14,4938.11,0.3292,83.26,14.96,7.95,1
58710.2,8475.03,0.3132,65.41,32.09,7.39,0
63756.48,13198.15,0.1034,51.84,16.04,2.81,1
56241.7,9386.16,0.4353,78.31,3.33,4.45,0
55001.95,20446.53,0.3275,80.19,16.89,6.51,1
40620.74,20831.98,0.2247,88.36,16.16,4.25,1
62819.2,25050.08,0.5507,57.96,20.85,3.0,0
52797.97,10203.66,0.2667,58.4,15.85,4.8,0
132484.26,37901.78,0.5143,78.9,5.83,6.14,1
106499.71,16823.61,0.2029,70.93,13.27,2.62,1
64675.91,13871.37,0.0913,43.71,10.37,6.93,0
39918.87,3132.64,0.34,77.63,14.42,5.36,0
34471.07,16263.62,0.2979,44.21,25.08,7.08,0
90705.07,19032.86,0.2009,57.82,7.53,4.73,1
61417.07,5745.24,0.1809,92.28,38.57,12.52,1
67288.77,18396.34,0.4475,99.37,16.82,6.07,1
26432.84,0.0,0.217,53.77,22.19,7.55,0
81195.3,16644.53,0.3599,67.06,20.25,6.91,1
66565.72,20898.47,0.4348,72.64,16.36,4.41,1
34499.76,8319.71,0.3608,98.72,18.47,5.75,1
45118.52,11631.72,0.86,64.61,1.0,3.33,0
61442.05,6552.1,0.2516,64.85,20.22,12.0,1
56225.44,10592.89,0.1493,95.23,6.22,6.48,1
48648.52,15613.46,0.3874,66.38,12.11,2.88,1
52660.63,14077.78,0.3772,82.83,16.28,10.46,0
49476.74,8595.94,0.1296,49.84,25.82,4.55,0
58639.55,4774.33,0.3606,69.43,6.22,8.18,1
102039.48,20702.28,0.3544,47.11,9.01,1.47,1
18715.21,0.0,0.3724,56.17,9.97,9.38,0
49792.09,5398.64,0.377,84.59,14.54,6.32,1
59232.38,15273.17,0.1158,71.25,10.44,2.73,1
62280.64,9715.52,0.1887,67.21,18.53,6.25,1
47046.15,10539.28,0.4627,60.77,2.6,11.32,0
26298.45,3387.62,0.0973,68.69,11.42,3.39,0
63123.38,8427.6,0.756,76.52,34.13,3.36,0
113615.54,14198.43,0.2402,86.74,10.46,4.37,1
28878.9,0.0,0.1493,32.62,16.86,5.14,0
79054.77,19819.97,0.4996,59.52,23.26,8.49,1
47911.36,14830.19,0.5007,74.39,16.49,6.53,0
53601.5,14776.48,0.2839,70.52,40.77,4.37,0
35343.55,0.0,0.2522,78.05,13.49,5.9,0
47792.16,5220.5,0.2942,76.01,19.16,12.37,0
94950.14,14970.45,0.1764,67.43,14.97,7.2,1
70249.16,0.0,0.6871,64.1,29.81,4.66,0
113852.54,20883.81,0.5667,68.32,9.35,4.28,1
90183.47,10343.63,0.4957,89.23,42.86,5.69,1
66138.4,14027.24,0.5087,61.02,7.68,8.43,0
114409.68,19792.81,0.2873,71.06,36.22,3.08,1
66135.81,12566.45,0.0657,74.75,5.63,7.77,1
77873.7,14080.68,0.1125,95.41,19.57,4.6,1
48558.7,19591.07,0.3795,67.5,12.67,5.03,1
56558.89,9044.65,0.1237,86.38,22.94,17.95,1
41034.58,11458.9,0.3718,90.48,17.15,7.32,1
83342.48,10745.91,0.1475,71.04,22.13,3.56,1
33530.17,10547.32,0.3473,68.84,5.47,6.31,0
76395.24,8727.43,0.2648,67.06,3.09,8.67,1
50767.67,13208.91,0.1889,68.16,4.73,7.37,1
89950.27,9474.87,0.3598,84.81,4.63,0.94,1
75391.77,0.0,0.6118,75.47,5.41,4.91,0
118155.86,7035.25,0.6291,75.53,8.09,6.47,1
74758.17,18967.24,0.1463,55.12,8.03,6.17,1
28419.52,8426.83,0.297,57.49,12.89,3.75,0
53474.93,3465.7,0.3529,100.0,6.59,7.44,1
33618.96,10179.28,0.5148,69.33,7.03,9.4,0
44241.16,4640.26,0.1595,60.38,10.93,1.54,0
103756.74,13525.79,0.5588,93.47,25.03,1.43,0
71887.14,17022.81,0.1812,76.23,9.23,6.28,1
41008.62,9768.41,0.3539,80.67,12.28,7.8,1
35929.97,8508.97,0.409,69.93,13.75,3.4,0
55762.5,10337.05,0.2179,67.22,5.95,0.99,1
32995.72,14081.37,0.3232,69.46,9.93,4.96,1
41490.08,10299.34,0.2201,51.26,7.49,6.22,0
62700.99,21757.99,0.4634,70.68,23.5,4.15,0
89350.27,40486.37,0.175,76.44,22.24,8.8,1
71023.66,11231.49,0.0745,99.76,6.89,6.0,1
21009.85,5072.86,0.5075,73.29,12.11,3.17,0
62500.04,14580.74,0.2396,36.99,19.17,3.39,0
56689.4,20504.86,0.2067,70.59,15.88,5.02,1
65442.19,10173.13,0.3392,100.0,17.07,3.97,1
108433.95,16198.42,0.3577,85.0,5.98,1.36,1
23121.74,17185.31,0.2334,59.84,35.38,5.7,0
42908.49,20384.14,0.3615,80.87,7.97,3.45,1
70493.03,14684.28,0.258,60.87,7.79,3.83,0
28305.71,9749.23,0.1541,51.69,4.24,2.42,0
102230.68,25300.05,0.3299,66.77,11.29,11.48,1
64202.55,10008.3,0.2337,73.37,26.77,7.07,1
78484.29,14897.08,0.02,43.92,15.77,13.09,1
43273.34,6362.54,0.4871,54.76,11.94,4.14,0
77409.84,16640.84,0.4449,72.16,21.18,7.31,1
86150.11,26572.27,0.4326,65.88,26.34,5.76,1
60651.35,14361.39,0.2013,77.92,22.21,3.25,1
60690.16,11947.38,0.8621,53.78,2.27,4.11,0
61613.27,11909.0,0.6395,82.71,21.3,7.06,0
38272.37,1587.79,0.5577,54.24,17.53,2.42,0
51695.52,12040.57,0.3156,96.64,6.77,8.85,1
51587.21,5507.65,0.4166,46.26,17.58,5.48,0
64609.32,10437.87,0.59,55.61,26.81,8.19,0
83701.71,7750.59,0.3882,78.26,8.24,6.24,1
35259.96,12227.88,0.1202,96.96,23.26,1.55,1
52186.79,6607.87,0.2058,76.73,16.01,4.91,1
102467.38,26551.8,0.4994,80.44,1.0,8.96,1
40246.62,86.75,0.3077,72.26,12.59,5.43,0
38938.68,13599.82,0.2616,56.6,15.58,4.99,0
59877.56,15234.31,0.3333,64.65,10.23,5.42,1
78411.84,19108.34,0.0728,53.82,16.43,1.27,1
55264.58,5604.73,0.4063,52.82,11.63,9.49,0
96110.31,14827.87,0.3218,78.03,48.37,0.79,1
78821.57,20929.54,0.0872,55.15,9.69,10.61,1
78327.41,8154.1,0.2118,76.79,6.93,3.95,1
69412.16,4303.92,0.1294,52.47,22.49,6.49,0
146195.9,7488.09,0.4031,76.45,10.65,1.19,1
50459.21,13032.3,0.2576,64.67,12.09,7.75,1
23708.98,6724.39,0.1585,93.1,11.35,7.0,0
107890.84,20292.01,0.6509,76.86,21.68,6.76,1
45381.27,16303.36,0.5166,90.54,5.37,1.14,1
57549.36,18133.71,0.3074,60.67,23.23,2.96,1
95329.99,11174.81,0.3284,72.84,18.52,6.26,1
28061.1,3378.78,0.3181,57.28,38.65,9.34,0
32513.04,4293.85,0.3646,65.8,14.74,2.67,0
28072.67,0.0,0.2193,68.07,5.72,2.72,0
39401.19,10024.87,0.6645,61.11,14.86,6.01,0
66153.68,24469.05,0.4648,53.77,16.16,17.04,0
68545.11,6508.03,0.2825,50.8,28.32,3.29,0
61766.94,3079.95,0.3382,36.9,5.71,3.92,0
30385.68,0.0,0.2811,56.15,3.34,3.56,0
20844.49,1596.02,0.1787,81.41,15.07,4.61,0
56270.01,15954.63,0.5646,48.02,39.72,9.76,0
45113.76,5987.01,0.0543,51.48,20.37,4.76,0
66704.69,15432.85,0.1984,98.86,21.17,17.97,1
73858.69,4285.15,0.5669,62.45,4.13,5.31,0
58287.9,24487.96,0.5665,76.82,13.37,10.3,1
75685.69,13740.11,0.3263,81.63,28.67,4.11,1
60558.02,7712.62,0.1768,81.94,16.3,2.07,0
68714.51,18387.68,0.1639,49.17,3.12,4.76,1
40909.83,0.0,0.3182,68.53,13.18,6.82,0
51003.61,17373.26,0.1242,47.73,19.43,2.98,0
59738.65,11029.1,0.3625,100.0,12.17,9.39,1
77630.09,13201.28,0.4678,48.08,6.32,3.67,0
46616.84,12929.07,0.2971,56.28,22.94,2.42,0
68458.21,7858.72,0.3661,56.39,9.4,16.07,1
49189.53,20590.5,0.4731,49.55,17.38,2.88,0
52350.71,11201.59,0.3569,92.29,12.93,3.6,1
77923.78,10934.98,0.289,100.0,9.13,7.48,1
23813.39,6387.12,0.6912,64.86,42.56,4.02,0
31906.66,7510.71,0.3992,52.19,8.35,2.49,0
29512.54,3784.15,0.486,38.45,13.72,3.37,0
20639.66,16409.76,0.4002,68.34,12.9,13.58,0
41366.12,3671.65,0.3659,67.25,14.81,6.96,0
75346.35,16948.17,0.3366,62.23,40.57,7.77,0
48797.64,19836.02,0.4611,75.32,19.44,5.84,0
59764.09,13069.96,0.1104,77.93,9.06,6.44,1
86904.04,35173.81,0.5901,76.85,32.77,3.83,0
96058.88,25908.97,0.3125,67.26,21.74,5.41,1
53425.88,20517.23,0.0857,55.48,9.2,1.06,0
97109.5,5378.58,0.1745,81.99,29.59,8.63,1
57169.83,9397.43,0.1839,72.19,4.09,3.8,1
38691.73,5400.12,0.096,85.33,5.18,2.2,1
42849.12,11470.86,0.3401,83.85,2.91,5.6,0
29532.99,12349.25,0.3791,50.67,1.72,4.4,0
37875.97,8935.53,0.2407,50.49,28.24,8.45,0
47321.57,12204.68,0.2446,60.67,14.94,4.83,0
77079.62,17626.93,0.1394,56.16,3.19,3.32,1
113301.97,28055.34,0.3956,83.33,12.66,4.9,1
30778.52,9870.11,0.6126,77.27,23.74,10.97,0
64865.81,16577.06,0.2379,88.49,7.21,8.61,1
35527.42,6980.17,0.2645,77.95,10.23,6.95,0
67135.03,11168.03,0.4502,75.13,43.84,8.83,0
52053.75,11167.83,0.33,90.0,10.95,7.26,0
25491.7,2158.73,0.2228,79.05,3.46,2.73,0
81224.58,18322.61,0.3292,73.02,8.63,7.81,1
42658.77,10710.34,0.1171,94.21,2.98,9.44,1
43951.87,4011.57,0.2286,73.73,20.53,9.74,1
35094.25,0.0,0.227,67.43,6.39,2.34,0
41784.87,6322.94,0.4081,59.43,6.21,3.61,0
65828.12,22066.64,0.518,82.55,46.38,3.26,0
50797.67,8389.26,0.4234,90.56,4.68,4.08,0
63141.06,18142.98,0.3146,71.24,3.93,6.53,1
64029.27,8686.24,0.4086,91.62,5.42,5.51,1
95775.9,32345.55,0.1973,42.45,24.23,5.51,1
47625.25,10436.57,0.4078,71.17,18.73,1.91,0
29578.65,7801.29,0.6328,71.4,8.54,3.52,0
86104.92,28767.03,0.3098,61.1,7.93,10.15,1
47851.77,7163.87,0.4319,100.0,17.76,9.41,1
87835.17,17528.24,0.1797,71.01,15.35,4.77,1
64608.86,0.0,0.4161,65.88,11.49,7.82,1
52052.64,3083.71,0.4955,72.39,19.18,6.18,0
63676.72,16996.52,0.4115,41.96,5.11,8.32,0
124805.74,26167.3,0.5515,60.6,6.48,8.02,1
131586.58,11068.05,0.4886,86.75,19.87,5.01,1
56626.28,15339.86,0.414,62.57,16.24,6.97,0
58827.72,17042.3,0.3668,59.57,13.31,6.43,1
86431.66,23748.73,0.3672,91.64,45.33,5.1,1
38557.69,15131.3,0.235,92.1,22.1,4.44,1
63258.07,20646.72,0.0684,79.75,8.75,12.54,1
54405.8,14366.83,0.4791,65.17,6.97,5.1,1
62751.01,23975.72,0.4765,68.41,16.79,7.54,1
38757.27,5795.89,0.5013,59.94,28.18,12.0,0
28211.08,1192.45,0.02,57.08,2.53,6.97,0
23027.29,8076.17,0.174,56.33,15.94,6.78,0
34399.15,12366.61,0.3075,62.73,10.1,5.12,0
45362.67,5605.6,0.298,56.48,14.94,6.49,0
48627.67,3620.82,0.4859,48.54,3.67,4.21,0
124085.43,9785.84,0.2618,75.29,28.17,19.28,1
87518.52,15743.74,0.1616,75.52,33.23,1.94,1
36717.55,509.47,0.6085,97.51,20.76,4.62,0
63648.18,11916.43,0.542,61.97,37.61,7.03,0
46356.44,14635.17,0.2306,76.44,9.71,6.79,1
48808.3,11011.27,0.5424,76.69,15.68,4.21,0
59452.04,4407.42,0.0609,68.19,20.97,1.44,1
71334.85,8063.15,0.3987,83.17,16.94,2.18,1
47695.86,5921.18,0.4858,83.63,10.7,5.74,0
85983.11,32338.15,0.6282,76.91,11.58,1.12,1
34046.22,407.58,0.0433,68.17,31.29,7.32,0
55146.63,4096.03,0.1506,66.64,12.83,9.87,1
163752.5,41464.02,0.3466,51.48,27.13,8.08,1
60402.27,16148.47,0.2304,59.91,12.34,9.02,1
100412.16,10341.68,0.2158,62.67,27.02,1.15,1
