transaction_amount,weekend_transaction,manual_approval_missing,prior_exceptions,country_risk,years_with_supplier,high_risk,annual_loss
6658.3,0,1,2,High,3.4,1,2984.95
322.15,0,0,2,High,2.6,1,2407.76
1848.93,0,0,0,Medium,4.1,0,748.66
2520.93,0,0,3,Low,3.3,0,2279.46
2757.27,1,0,0,Medium,2.3,0,1487.8
1670.81,0,1,2,Medium,4.8,0,1285.31
591.38,0,0,3,Medium,3.8,0,1071.01
2824.25,0,0,0,Medium,12.2,0,1603.81
8066.8,0,0,4,Medium,3.3,0,2874.31
698.97,0,0,1,Medium,2.6,0,974.41
4221.18,1,0,0,Medium,4.6,0,1052.09
1726.08,0,0,0,Low,5.4,0,1089.54
2109.08,0,0,1,Low,5.7,0,211.31
1002.57,0,0,0,Medium,5.7,0,935.8
1718.42,0,0,1,Low,4.7,0,1980.25
5854.9,0,0,0,High,4.5,0,1772.79
3418.62,0,0,1,Medium,6.8,0,722.72
8096.88,0,0,2,Low,2.2,0,1662.48
5340.42,0,0,4,Medium,2.6,0,1805.32
3069.64,1,0,2,Medium,1.3,0,968.11
8167.77,0,0,3,Medium,2.2,0,2387.31
3069.42,1,0,0,Low,8.7,0,1529.67
4109.23,0,0,1,High,6.6,0,1626.65
1767.94,0,0,1,Low,13.2,0,526.28
2321.36,1,0,0,Medium,11.3,0,633.63
1308.89,0,0,1,Low,6.6,0,619.16
4638.69,0,0,1,Medium,5.0,0,925.41
912.58,0,0,1,Medium,4.6,0,417.81
3970.96,0,0,1,Medium,0.7,0,2228.66
1914.12,0,0,2,Low,4.3,0,1260.56
5315.78,1,0,1,Medium,3.0,0,1946.92
3878.3,1,0,0,Medium,2.3,0,1757.35
8651.47,0,0,1,Low,6.0,0,1639.67
3820.29,0,0,3,High,3.9,1,2970.21
679.24,0,0,1,Medium,4.8,0,1107.45
2100.19,0,0,0,High,2.0,0,1249.05
916.9,0,0,0,High,7.8,0,1555.34
1497.11,1,0,2,High,3.3,1,3312.73
6859.72,1,0,3,Medium,5.8,1,2949.72
3562.26,0,1,3,Medium,3.5,0,1448.24
1307.41,0,0,1,Low,0.5,0,781.95
1032.47,0,0,1,Low,6.1,0,569.92
2263.32,0,1,0,Medium,4.1,0,268.73
886.76,0,1,0,Low,1.2,0,1191.29
1334.94,0,0,1,High,1.8,0,2134.38
2790.59,0,1,0,Low,7.9,0,2435.94
5252.63,0,1,1,Low,1.2,0,1262.53
3486.21,1,0,3,Low,3.2,0,1427.74
396.05,0,0,1,Low,13.9,0,27.54
2774.64,1,0,0,Low,6.2,0,1008.98
2330.94,0,0,3,Low,7.2,0,1404.44
3012.18,0,0,2,Medium,3.7,0,934.64
7421.65,0,0,0,Low,1.1,0,773.3
469.92,0,0,0,Low,5.1,0,0.0
1417.53,0,0,1,Low,1.9,0,1218.73
3439.84,0,0,1,Low,1.8,0,426.92
674.39,1,0,4,Low,4.8,0,1768.15
6680.59,0,0,1,Medium,2.0,0,592.96
2911.05,0,0,5,Medium,4.4,1,2733.48
4166.94,0,0,2,Low,2.7,0,1007.91
1439.13,0,0,1,Medium,4.3,0,1004.53
4065.63,0,1,1,Low,3.1,0,1658.45
4921.43,0,1,0,Low,4.4,0,1985.99
2629.79,1,1,3,High,10.7,1,4367.08
2632.79,1,0,1,Low,7.3,0,1673.49
2704.73,0,0,0,High,4.0,0,2234.69
1155.73,0,0,1,Low,9.7,0,1004.24
1977.03,0,0,3,Low,5.8,0,1248.2
1969.64,1,1,1,Low,9.3,0,2152.89
2944.06,0,0,5,Low,1.4,1,3346.24
4674.46,0,0,3,High,2.1,1,3613.92
998.34,0,0,1,Low,5.1,0,0.0
2010.71,1,0,0,High,4.0,1,2177.95
6708.24,0,0,0,High,4.4,0,1568.41
1264.34,0,0,2,Medium,6.4,0,1687.3
1191.91,1,1,0,Low,5.1,0,1271.69
2570.18,0,0,3,Low,7.8,0,1935.19
4160.08,1,0,1,Low,7.7,0,1974.59
2227.35,0,0,2,Medium,2.1,0,1985.46
5983.26,0,0,2,Low,0.6,0,1951.88
4198.97,0,0,3,High,2.0,1,2653.58
4152.08,1,0,2,Medium,1.9,0,2076.1
3346.22,0,0,1,Low,4.6,0,510.09
12654.14,0,1,1,Medium,4.6,1,2288.8
1893.4,0,0,1,Low,3.8,0,584.43
491.45,0,0,2,High,6.0,0,2533.01
7355.41,0,0,3,Low,17.7,0,1898.29
1566.7,0,0,1,High,3.8,0,2729.46
2394.45,0,0,2,Medium,5.3,0,1435.09
5896.79,1,1,1,High,4.4,1,5019.07
664.02,0,0,2,Low,2.9,0,1014.12
863.73,0,0,1,Medium,6.5,0,982.83
664.5,0,0,0,Low,3.6,0,0.0
1217.31,0,0,2,Medium,2.4,0,1866.02
3070.9,0,0,0,Low,2.6,0,288.79
3271.95,0,0,0,Low,8.0,0,223.16
2716.79,1,0,1,Low,6.4,0,1854.85
765.42,0,0,2,Low,3.1,0,1560.6
390.5,0,0,2,Low,5.9,0,1519.96
2300.23,0,0,1,Medium,4.4,0,871.81
1550.24,1,0,0,Low,5.3,0,780.48
3116.73,0,1,2,Medium,2.8,1,2755.25
3738.6,0,0,2,Low,2.0,0,1562.09
2449.6,1,0,1,Medium,3.6,0,2285.93
3905.34,0,0,1,Medium,2.2,0,1385.85
2622.57,1,0,1,Low,2.1,0,2229.77
3286.4,0,0,2,Medium,1.4,0,1893.51
1301.79,0,0,0,High,0.6,1,2111.99
1930.03,0,0,1,Medium,3.1,0,1500.89
2559.54,1,0,2,Low,8.9,0,2337.43
4086.3,0,0,0,Low,7.6,0,1735.1
1643.68,0,0,0,Medium,11.7,0,1417.85
3264.54,0,0,1,Low,2.0,0,852.64
1809.17,0,0,0,Medium,6.7,0,657.46
2022.0,0,1,2,Low,4.0,0,1828.38
4113.95,0,0,5,Medium,2.6,0,3158.66
495.32,1,0,2,Low,8.3,0,1493.25
835.18,0,1,1,Low,4.1,0,1418.46
726.59,0,0,3,High,1.0,1,3009.13
383.67,0,0,1,High,7.5,0,1356.52
1327.83,0,1,2,High,5.6,1,3173.77
3874.13,0,0,1,High,4.8,1,2755.67
1783.51,0,0,2,Low,1.7,0,1939.8
2561.49,0,0,0,Low,5.2,0,397.46
4998.6,0,0,0,Low,10.7,0,728.84
5977.54,0,0,0,Low,5.5,0,292.47
2096.76,0,0,1,Low,1.3,0,1150.92
6094.79,0,0,0,High,5.8,0,2428.31
2366.33,0,0,2,Low,5.6,0,1929.12
1178.45,0,0,3,Low,7.1,0,1324.34
1414.03,0,0,4,Low,5.5,0,1804.88
727.49,1,1,1,Low,2.1,0,1426.47
1134.45,0,0,3,Low,4.6,0,1499.82
1688.32,0,0,1,Medium,3.7,0,1200.86
4034.71,0,0,0,Low,5.0,0,664.47
8027.09,0,0,1,Medium,8.5,0,1547.66
783.18,0,0,0,High,2.7,0,1553.38
2964.97,0,1,0,Medium,12.8,0,1195.76
1011.91,0,0,0,Medium,5.8,0,587.46
3152.73,1,0,2,Low,7.5,0,2379.74
2001.57,0,0,0,Low,6.9,0,1980.91
559.38,0,0,1,Low,5.6,0,0.0
4430.3,0,0,1,High,6.3,0,1127.41
1402.83,1,0,1,Medium,0.1,1,1731.76
1479.67,0,0,1,Low,6.9,0,656.77
989.98,0,0,4,Low,2.3,0,1951.98
1351.93,0,0,2,Medium,4.2,0,1589.82
3043.97,0,1,1,Medium,5.6,0,1717.7
1916.14,1,0,3,Medium,8.7,0,2205.04
2825.66,0,0,0,High,2.3,0,1067.15
2897.03,0,0,1,Medium,3.2,0,978.52
5946.13,0,0,2,Medium,3.5,0,1575.18
1707.71,0,1,0,Low,5.0,0,98.22
729.5,1,0,0,Low,3.7,0,112.34
4916.82,0,0,1,High,6.3,0,1237.32
1722.24,0,0,0,Medium,1.0,0,1190.82
5094.64,1,0,2,Low,4.0,0,1711.57
2944.02,1,0,2,Medium,11.4,0,2062.17
2001.49,0,1,3,Low,3.7,0,758.29
2868.61,0,0,2,Medium,5.8,0,554.84
9540.1,0,0,1,Low,7.9,0,1642.58
10485.36,0,1,0,Medium,5.7,0,355.71
2326.3,0,0,1,Low,13.5,0,1446.39
2490.26,0,0,1,Low,4.7,0,0.0
4950.18,1,0,1,Low,6.5,0,1770.35
1171.16,1,0,2,Medium,5.2,1,2013.26
2835.02,1,0,0,Low,10.0,0,1475.35
2165.93,1,0,0,Low,3.3,0,2616.1
2794.56,0,0,0,Medium,14.2,0,0.0
1182.01,0,0,1,Low,2.7,0,1075.2
670.37,0,0,1,Low,12.1,0,0.0
466.5,0,0,0,Low,2.1,0,617.38
955.24,0,0,0,High,6.7,0,1203.14
1565.55,0,0,1,Low,4.4,0,790.97
1772.43,0,1,1,Low,7.8,0,732.64
9442.0,0,0,0,Low,5.9,0,1440.24
5061.89,0,0,1,Low,7.5,0,167.74
1073.23,0,0,0,Low,2.0,0,1108.03
2866.31,0,0,0,Low,1.2,0,325.55
1627.32,0,0,4,Low,1.7,0,732.43
1784.2,1,0,1,Low,1.7,0,1962.11
2537.65,1,1,1,High,2.0,1,3400.6
3513.54,0,0,2,Low,2.9,0,2165.15
1712.24,0,1,2,Low,2.9,1,3061.6
4904.4,0,1,1,High,4.5,1,2814.33
937.81,1,0,3,High,2.4,1,3298.9
2218.87,1,0,2,Medium,2.5,0,1741.89
15494.73,0,0,0,Low,3.8,0,2274.1
2610.53,0,1,0,Low,8.5,0,1273.37
6469.87,0,0,1,Low,3.3,0,1159.85
2365.25,0,0,2,Low,4.3,0,925.63
3413.81,1,1,0,Low,4.8,0,1411.16
2116.27,0,0,1,Medium,2.2,0,1775.66
1943.4,0,0,2,Low,3.5,0,1008.08
1230.76,0,0,1,Medium,2.7,0,778.9
3049.48,0,1,1,Low,8.0,0,1012.98
1166.01,1,1,3,Low,7.6,1,2657.05
3638.0,1,0,1,Medium,2.5,0,743.51
4983.89,0,0,0,High,4.2,0,1186.17
2907.06,0,0,0,Low,6.6,0,1377.63
1781.68,1,0,1,Medium,5.5,0,1271.09
3104.08,0,0,1,Low,5.9,0,1214.71
1751.97,1,0,1,Low,2.2,0,0.0
4454.46,0,0,1,Medium,11.8,0,1534.38
559.17,0,0,2,Low,2.8,0,820.4
1716.93,1,0,1,Low,2.8,0,815.39
496.16,0,0,2,Low,1.6,0,1004.26
719.61,0,0,0,Low,4.0,0,127.67
6141.94,0,0,0,Low,9.0,0,0.0
4321.63,0,0,0,Low,5.4,0,1159.75
1287.41,0,1,3,High,4.2,1,3653.78
715.6,0,0,1,Medium,7.2,0,787.42
239.03,1,0,1,Low,8.9,0,445.33
1469.06,1,1,1,Low,7.5,0,754.41
13565.86,0,0,0,Medium,0.9,0,1722.75
3059.98,0,0,2,Low,7.2,0,1971.59
1451.45,0,0,3,Low,6.0,0,1343.34
3130.07,1,1,4,Medium,2.4,1,2898.59
684.91,0,0,0,Low,6.0,0,521.76
1766.95,0,1,1,Low,9.0,0,1204.35
2379.41,0,0,0,Low,2.9,0,991.78
2070.25,0,0,0,Low,7.9,0,828.62
3996.22,0,0,1,Low,5.5,0,0.0
2859.73,0,0,3,High,0.2,1,3430.06
3645.48,1,0,2,Low,4.4,0,923.27
1317.8,1,0,1,Medium,5.4,0,570.3
4330.17,1,1,1,Medium,3.6,0,1959.45
7492.84,0,0,2,Low,5.7,0,1620.53
1066.77,0,0,1,Low,4.1,0,0.0
1134.82,0,0,2,Low,16.0,0,1336.95
6013.96,1,0,0,Medium,3.4,0,1840.81
1913.12,0,0,1,Low,2.5,0,769.76
6328.8,1,0,3,Medium,7.6,1,2645.82
1584.62,0,0,2,High,3.7,0,1342.27
6576.67,1,0,1,Medium,4.2,0,2284.63
2437.22,0,1,2,High,4.0,1,2509.43
2680.27,0,0,1,Medium,7.4,0,1683.08
7140.5,0,0,0,High,2.0,0,1658.98
1683.57,0,0,0,Medium,7.9,0,715.14
1090.25,0,0,2,Medium,6.3,0,306.87
1577.47,0,1,1,Medium,12.9,0,1439.73
3100.29,0,1,0,High,5.1,1,3204.49
682.44,0,1,0,Low,2.1,0,162.75
3562.09,0,0,3,Medium,5.1,0,1953.6
1474.27,0,0,0,Low,5.6,0,502.16
5223.17,1,0,1,High,9.5,0,1871.56
366.61,0,0,3,Low,2.1,0,1625.73
1224.24,0,0,3,Medium,1.3,1,1204.46
623.38,1,0,0,Medium,5.2,0,1234.31
1188.36,1,1,1,High,13.2,1,4233.87
2659.12,0,0,3,Low,6.9,0,2108.11
1930.59,1,0,1,Medium,7.2,0,1609.53
1826.15,0,0,0,Medium,1.5,0,611.91
1959.83,0,0,0,High,4.6,0,1037.5
2572.26,0,0,1,High,9.6,0,1523.45
1036.49,0,0,0,Medium,5.6,0,1021.65
3752.35,0,1,2,Medium,1.2,1,2388.68
3630.04,0,0,1,Low,4.6,0,1280.69
2947.69,0,0,2,High,6.6,0,3149.58
3352.29,0,0,5,Low,4.2,0,1850.62
2758.14,0,0,2,Medium,2.3,0,623.65
10160.93,0,0,0,Medium,7.8,0,621.66
2068.71,0,0,0,Low,3.3,0,921.92
1754.06,0,0,3,Low,6.0,0,1219.92
1254.95,0,0,0,Low,4.5,0,920.1
1018.21,0,0,1,High,3.2,0,1287.78
868.39,0,0,6,Low,14.1,0,2427.63
1133.88,0,0,0,Low,3.0,0,342.31
2094.33,1,0,1,Medium,4.8,0,1003.73
2837.62,0,0,0,Low,4.5,0,328.08
