transaction_id,transaction_amount,transaction_frequency_7d,account_age_days,distance_from_home_km,time_since_last_transaction_hours,failed_login_attempts_24h,channel,country,fraud
T000044,29.3,8,954.51,7.62,2.4,0,card,NL,0
T001879,56.48,4,505.66,5.88,3.43,0,card,DE,0
T000451,24.0,8,771.81,13.36,2.16,0,mobile,DE,0
T002046,14.93,5,306.56,1.83,22.44,0,mobile,DE,0
T000045,27.5,2,731.12,28.39,44.04,0,branch,FR,0
T001284,39.95,1,686.91,14.46,26.78,0,online,DE,0
T001968,24.56,1,374.23,16.59,15.25,0,card,FR,0
T002091,28.71,4,1265.69,8.57,29.74,0,card,NL,0
T000255,22.54,3,521.49,22.29,10.23,0,card,NL,0
T001946,9.57,2,424.58,9.39,2.26,0,online,DE,0
T001875,14.36,3,684.65,12.38,15.47,0,card,DE,0
T001863,56.09,4,305.31,11.0,2.42,0,online,NL,0
T000565,42.31,1,663.76,4.01,7.58,1,online,DE,0
T000213,26.23,5,350.93,14.1,5.69,2,card,FR,0
T000867,12.33,3,454.15,2.12,22.59,2,mobile,DE,0
T000743,14.71,2,602.35,10.61,15.27,0,online,DE,0
T001252,59.4,3,272.62,14.01,31.15,0,card,DE,0
T001048,34.76,5,594.87,3.57,2.97,0,card,DE,0
T001737,12.15,3,362.06,11.82,9.22,0,online,ES,0
T001018,22.18,7,183.73,16.76,24.35,0,online,DE,0
T000171,17.99,2,541.86,8.66,20.8,0,card,ES,0
T002097,41.64,3,819.07,34.27,1.4,1,mobile,ES,0
T002488,53.94,7,92.98,25.82,3.44,1,online,DE,1
T002218,24.44,10,491.86,14.11,3.89,0,card,DE,0
T001798,23.77,1,357.93,3.17,0.77,0,mobile,DE,0
T000545,22.44,2,1037.35,21.6,15.88,0,card,DE,0
T001222,52.45,2,680.18,4.37,17.47,0,card,DE,0
T000464,8.25,1,506.03,42.76,1.64,0,mobile,DE,0
T000989,21.84,4,832.09,3.32,2.42,0,branch,DE,0
T001322,18.95,0,683.98,25.32,9.55,0,online,NL,0
T000603,51.98,3,923.1,15.43,8.4,0,online,DE,0
T001337,33.37,5,546.84,4.66,14.32,0,mobile,DE,0
T002340,41.02,3,368.19,5.12,25.55,2,mobile,DE,0
T001261,44.68,5,485.42,9.24,14.5,0,mobile,FR,0
T002115,33.76,4,462.29,5.09,1.45,0,card,DE,0
T000808,13.01,5,608.83,6.57,15.04,0,mobile,DE,0
T000887,51.15,2,311.87,1.7,1.73,1,card,DE,0
T001583,34.9,4,971.18,6.61,4.3,2,card,Other,0
T001615,17.76,1,799.24,3.99,2.68,1,mobile,NL,0
T001838,22.37,5,379.69,20.32,14.66,0,card,NL,0
T001874,13.37,7,608.73,7.56,12.33,0,card,DE,0
T000283,42.95,3,282.89,20.93,5.39,0,mobile,DE,0
T000211,42.68,4,845.78,13.64,23.65,0,mobile,DE,0
T000112,29.39,2,401.8,2.27,30.53,0,mobile,FR,0
T001921,14.13,2,530.7,23.0,6.39,0,card,NL,0
T002166,51.21,3,882.33,1.38,5.33,1,mobile,DE,0
T000458,16.2,4,529.33,5.6,67.33,0,online,NL,0
T000820,13.78,3,397.56,10.07,28.72,1,mobile,FR,0
T002185,9.9,3,833.76,8.52,50.12,0,card,DE,0
T001656,10.89,4,842.61,15.03,14.19,1,card,DE,0
T000253,66.74,0,1019.02,11.1,3.17,0,card,DE,0
T000252,31.12,3,167.56,21.12,10.55,0,card,FR,0
T001540,59.38,2,876.11,9.25,1.05,0,mobile,DE,0
T002130,46.42,9,411.38,3.97,3.56,1,card,Other,0
T001927,18.71,4,830.72,3.96,24.48,0,card,DE,0
T001019,21.43,0,637.97,11.2,0.47,1,card,Other,0
T000423,18.6,2,242.17,12.74,10.4,0,online,DE,0
T001176,10.7,2,659.2,0.88,4.81,0,card,ES,0
T000621,20.24,3,541.79,11.05,14.0,0,mobile,FR,0
T000174,13.14,5,437.54,10.02,12.73,0,card,ES,0
T000487,16.8,2,453.44,41.35,15.2,1,card,DE,0
T001986,21.99,5,627.33,3.73,58.05,0,online,DE,0
T001081,29.49,2,590.13,20.86,21.78,0,card,ES,0
T001118,21.14,3,584.55,35.88,4.45,0,mobile,DE,0
T001358,19.51,3,802.84,13.88,9.31,0,card,NL,0
T001042,44.06,3,416.7,0.22,5.38,0,card,NL,0
T001091,18.58,1,501.68,2.46,25.38,2,mobile,DE,0
T001356,33.33,3,739.33,12.5,3.57,0,card,Other,0
T000212,12.43,4,488.83,8.21,0.41,0,card,FR,0
T000614,32.97,3,734.14,5.59,0.14,1,card,FR,0
T002150,27.66,1,332.52,5.07,4.68,0,online,DE,0
T000465,13.95,5,368.06,28.84,20.71,0,mobile,DE,0
T001468,12.21,4,373.5,5.4,15.35,0,card,FR,0
T000555,24.58,1,401.07,9.13,1.92,1,online,FR,0
T000908,12.78,0,664.41,15.14,13.16,0,online,ES,0
T000994,53.15,3,821.01,16.06,21.73,1,card,DE,0
T001969,20.35,6,474.7,8.58,2.47,0,online,ES,0
T001789,30.44,3,308.96,5.64,1.91,0,card,DE,0
T001599,61.42,1,341.81,3.15,16.29,2,card,FR,0
T000097,12.46,2,230.27,13.0,8.8,1,online,DE,0
T001965,17.22,0,422.86,5.25,3.67,0,mobile,ES,0
T001365,20.93,3,197.01,5.39,20.78,0,mobile,DE,0
T001925,25.02,4,456.46,20.52,13.89,0,online,NL,0
T000612,29.35,4,709.85,1.11,8.83,0,card,DE,0
T000446,11.45,1,489.83,9.48,17.89,1,online,DE,0
T000238,23.58,3,449.75,14.72,12.62,1,card,DE,0
T002311,40.63,4,649.37,6.73,3.65,2,card,DE,0
T000874,26.7,5,302.0,4.21,27.36,0,card,DE,0
T002498,16.91,7,197.16,49.79,3.19,0,mobile,DE,1
T002055,31.55,5,815.19,0.91,0.2,0,online,DE,0
T001674,33.03,5,435.84,6.29,1.93,0,card,DE,0
T002123,16.53,0,894.88,17.63,3.5,0,online,DE,0
T000840,21.44,3,568.91,6.21,3.66,0,online,NL,0
T000582,13.65,3,536.48,12.88,17.68,0,online,ES,0
T001282,7.82,2,500.16,26.61,20.56,0,card,DE,0
T000980,32.92,4,1024.02,11.47,36.88,0,mobile,DE,0
T000791,17.11,2,374.19,17.36,58.28,0,mobile,DE,0
T000842,26.3,3,1126.88,8.21,6.08,0,card,FR,0
T000483,27.12,5,258.21,3.43,0.92,0,online,DE,0
T001911,16.79,4,489.5,9.56,6.19,0,online,FR,0
T000622,26.25,5,369.4,3.83,11.42,0,mobile,DE,0
T001503,53.45,2,689.02,24.99,12.93,0,card,ES,0
T000333,17.56,0,558.21,8.33,4.58,0,card,ES,0
T000479,25.88,2,268.32,9.86,5.25,0,online,DE,0
T001495,21.23,5,336.52,13.28,2.73,0,online,DE,0
T000508,32.76,5,630.04,21.08,18.55,0,branch,ES,0
T001451,21.56,2,497.0,4.71,4.38,0,card,DE,0
T002424,72.9,4,132.37,10.39,4.06,1,mobile,DE,1
T000644,28.35,3,481.84,7.46,4.51,0,mobile,DE,0
T000481,29.16,4,1052.89,22.31,5.01,1,online,DE,0
T001456,24.22,4,341.57,13.82,0.4,0,branch,DE,0
T002395,15.83,1,295.74,11.65,16.82,0,card,Other,0
T001012,57.01,6,611.16,7.47,93.08,0,card,Other,0
T000765,31.11,2,405.38,32.41,5.75,0,online,NL,0
T001290,40.58,3,615.19,17.68,33.05,0,online,DE,0
T001224,39.66,6,486.22,8.98,8.66,0,mobile,FR,0
T001334,29.92,3,497.52,2.26,15.86,0,online,DE,0
T000618,29.46,4,290.64,6.08,112.89,0,mobile,FR,0
T000522,15.83,0,258.85,19.53,2.86,0,card,Other,0
T000583,21.94,1,505.97,14.27,1.1,0,card,NL,0
T001059,27.52,0,462.84,4.19,13.1,0,online,DE,0
T001407,29.69,3,595.33,15.34,0.53,1,online,DE,0
T000297,30.35,2,691.83,8.04,10.54,0,online,DE,0
T002443,20.98,1,100.98,44.95,22.37,0,online,NL,1
T001062,57.38,1,730.1,8.77,5.61,1,mobile,ES,0
T000858,32.58,1,594.76,11.22,0.97,0,online,FR,0
T001693,12.06,1,380.95,5.88,5.33,0,card,Other,0
T000408,40.7,1,189.66,4.3,54.23,0,card,DE,0
T001079,18.68,2,604.28,6.18,5.11,0,mobile,DE,0
T001084,26.68,3,762.18,13.97,31.39,0,online,DE,0
T000169,23.66,3,571.17,6.16,32.66,1,online,DE,0
T002181,82.82,3,702.21,1.14,0.19,0,online,DE,0
T000240,19.27,6,490.06,44.64,3.73,1,card,DE,0
T002306,19.66,4,598.82,8.02,18.69,0,mobile,FR,0
T001998,24.52,2,923.13,11.78,6.59,0,online,DE,0
T001902,46.49,3,671.9,5.21,11.04,0,mobile,Other,0
T001051,13.03,0,717.06,3.86,3.29,0,online,DE,0
T001913,34.94,3,1027.37,7.68,29.81,0,mobile,ES,0
T001868,37.46,3,695.91,11.84,8.8,0,card,DE,0
T002096,39.71,3,619.43,3.6,0.62,0,mobile,DE,0
T000523,53.77,3,716.03,9.19,29.98,1,card,FR,0
T001738,23.24,3,980.42,6.72,1.64,0,online,DE,0
T002473,18.37,10,354.78,34.1,6.24,1,card,ES,1
T001848,13.94,5,391.28,11.46,3.58,0,online,DE,0
T002369,15.87,3,538.57,7.35,1.21,0,card,DE,0
T002250,48.97,3,312.14,7.61,12.76,0,card,ES,0
T001884,27.27,4,365.68,21.6,3.66,0,online,FR,0
T001512,34.86,3,405.26,7.31,0.91,0,mobile,DE,0
T001460,31.39,1,336.94,3.89,17.17,1,card,DE,0
T001939,17.77,1,576.2,36.43,1.29,0,card,ES,0
T001724,74.26,5,331.12,33.49,15.75,0,branch,DE,0
T002026,11.48,2,406.82,17.24,1.23,0,online,FR,0
T001608,28.71,7,443.13,5.41,24.73,1,mobile,ES,0
T001978,29.06,4,395.1,4.72,5.89,0,card,NL,0
T000509,18.96,2,621.45,8.05,20.01,0,card,DE,0
T000633,20.64,4,1002.65,28.26,29.91,0,card,NL,0
T000916,48.75,1,443.85,3.21,6.01,1,card,DE,0
T000260,12.11,3,941.3,13.47,53.84,0,card,DE,0
T001396,71.83,3,1146.91,2.91,17.9,0,mobile,FR,0
T002296,42.96,4,295.7,6.7,51.31,0,card,FR,0
T002322,51.51,4,566.68,5.43,0.06,0,card,DE,0
T000803,31.17,3,741.21,16.15,9.26,0,card,DE,0
T001936,62.32,0,630.85,7.47,1.12,0,mobile,DE,0
T001197,13.13,2,1055.56,12.79,7.74,1,card,ES,0
T001945,20.93,3,527.78,22.26,1.76,0,online,DE,0
T000757,15.54,5,417.55,26.63,5.51,0,card,DE,0
T000802,14.21,4,365.73,1.99,2.15,0,mobile,FR,0
T000234,50.06,0,360.49,9.98,0.86,0,branch,FR,0
T001515,10.22,2,756.89,10.59,5.98,0,mobile,DE,0
T000941,28.97,0,487.12,4.46,21.2,0,card,DE,0
T000999,27.71,4,469.62,2.69,24.34,0,card,FR,0
T001103,35.84,4,412.84,6.05,2.8,0,online,DE,0
T001464,33.21,3,481.91,11.16,2.89,0,card,DE,0
T001877,38.53,3,748.37,9.55,12.13,1,online,FR,0
T001226,34.4,2,476.57,12.96,6.61,1,online,DE,0
T000325,70.2,4,305.59,8.47,1.83,0,online,DE,0
T001764,14.42,6,662.13,6.61,4.14,0,mobile,DE,0
T001954,18.0,6,464.76,17.22,4.65,0,card,NL,0
T001378,28.43,5,491.66,31.11,11.75,1,card,DE,0
T000101,20.95,2,591.34,13.0,23.64,1,online,DE,0
T002482,16.22,6,205.48,9.72,1.66,2,online,DE,1
T001341,16.63,2,381.68,25.61,3.29,0,online,Other,0
T000388,34.41,2,798.62,25.6,2.03,0,mobile,Other,0
T001955,29.03,2,590.45,9.39,5.01,1,mobile,ES,0
T000180,30.18,1,704.92,10.75,3.64,0,online,DE,0
T001695,12.97,2,724.27,2.68,23.51,0,card,DE,0
T001663,24.37,5,355.06,13.69,21.81,0,card,ES,0
T001305,22.46,3,368.75,21.34,5.81,0,mobile,FR,0
T000928,32.38,2,405.98,3.21,5.34,1,card,FR,0
T001431,22.22,4,689.85,30.86,15.12,0,branch,DE,0
T002269,9.34,0,619.33,16.95,12.17,0,card,Other,0
T000142,14.97,1,799.11,25.11,1.66,0,mobile,DE,0
T000369,28.83,2,486.86,16.75,3.08,0,card,FR,0
T002446,88.79,7,100.31,40.96,4.41,0,card,ES,1
T001086,20.6,0,735.97,5.98,14.11,1,online,NL,0
T000368,16.41,2,478.96,9.15,25.33,0,mobile,DE,0
T001675,22.76,5,650.14,9.16,0.13,0,card,DE,0
T001045,16.96,4,612.67,4.92,6.13,0,card,DE,0
T000319,44.45,1,622.19,15.94,3.93,0,card,ES,0
T001539,15.46,3,313.42,35.51,19.13,0,card,NL,0
T000248,70.83,3,1021.71,7.41,12.49,0,mobile,FR,0
T000322,23.22,2,597.38,7.77,7.28,0,mobile,DE,0
T001834,32.4,4,328.99,19.86,5.64,0,mobile,FR,0
T001840,15.72,3,908.31,4.33,1.72,1,mobile,DE,0
T001000,40.57,2,706.38,22.06,1.44,0,card,NL,0
T000943,33.78,5,872.77,8.19,4.82,0,mobile,ES,0
T001773,12.65,4,346.16,23.14,1.78,0,online,DE,0
T000030,32.69,0,750.5,7.66,1.01,1,online,DE,0
T001300,15.17,7,415.08,4.09,18.35,0,card,DE,0
T001994,43.85,2,437.83,11.9,6.28,0,mobile,Other,0
T001915,49.63,6,703.0,22.22,2.88,0,card,Other,0
T000696,16.77,1,388.95,10.0,15.6,0,online,DE,0
T002471,10.99,2,159.39,16.29,21.75,1,mobile,ES,1
T002029,28.87,1,511.73,28.71,4.91,0,online,DE,0
T001601,25.02,11,492.27,38.69,2.52,0,mobile,FR,0
T002330,44.69,4,964.44,21.29,7.32,0,card,DE,0
T001232,13.91,2,846.44,3.06,31.57,1,card,ES,0
T002174,13.21,0,689.65,17.45,0.91,1,card,DE,0
T001916,4.82,4,886.73,10.65,3.94,1,card,DE,0
T001730,26.33,1,403.19,9.6,5.79,0,card,NL,0
T001707,20.1,5,339.94,14.7,3.46,0,mobile,DE,0
T001704,7.18,2,787.27,14.69,3.56,0,online,NL,0
T000756,48.17,3,783.65,14.09,79.88,0,mobile,ES,0
T001331,9.18,1,190.86,0.81,7.59,1,card,FR,0
T000354,40.35,6,509.63,4.33,8.7,0,card,DE,0
T000209,15.91,3,533.42,19.37,2.29,0,card,DE,0
T002145,17.36,1,771.03,6.29,41.17,0,mobile,DE,0
T000904,61.78,1,215.65,13.59,31.78,0,online,Other,0
T000953,33.54,1,343.96,18.73,4.32,0,branch,NL,0
T001338,37.03,4,246.71,1.27,9.35,1,mobile,DE,0
T001552,17.32,1,535.28,11.9,23.55,0,card,DE,0
T001568,28.19,0,1268.19,4.51,31.41,0,card,DE,0
T001944,7.77,5,432.6,24.12,1.02,0,card,FR,0
T000486,23.48,2,499.14,14.23,17.13,0,mobile,DE,0
T001630,46.66,3,794.31,7.9,8.14,0,branch,DE,0
T002040,30.33,6,652.27,2.1,1.93,0,card,DE,0
T000200,23.57,2,466.31,7.82,1.75,1,mobile,DE,0
T000230,22.02,3,363.46,4.87,9.02,0,mobile,NL,0
T000811,23.08,3,748.52,7.58,3.14,1,card,Other,0
T000788,23.07,2,609.14,9.13,39.71,0,card,DE,0
T000411,11.41,5,1415.15,9.35,10.46,0,card,DE,0
T000630,6.84,1,584.26,11.16,6.82,0,online,ES,0
T001511,26.77,9,753.66,7.38,17.27,0,card,DE,0
T000663,15.7,5,432.93,11.69,32.23,0,card,DE,0
T002143,114.11,4,528.24,14.58,7.91,0,online,DE,0
T001919,21.66,4,795.11,44.79,1.72,0,online,DE,0
T002335,19.68,6,686.05,6.5,4.34,1,card,FR,0
T001270,35.75,3,342.69,16.53,7.57,0,card,DE,0
T000070,23.21,1,489.86,16.05,1.1,0,online,Other,0
T000444,53.32,3,863.4,7.43,2.13,0,card,NL,0
T002148,43.17,4,419.09,11.07,12.19,0,card,DE,0
T002242,16.56,2,484.94,10.75,0.4,0,mobile,DE,0
T001585,24.15,3,1054.78,19.69,39.75,0,online,NL,0
T000232,18.64,1,751.23,2.92,2.21,0,card,DE,0
T000441,23.24,4,472.9,4.43,19.79,0,card,ES,0
T001628,61.85,1,631.04,1.96,6.17,0,card,ES,0
T001323,25.48,2,511.46,11.77,14.02,0,online,NL,0
T001279,31.5,1,426.04,8.12,27.55,0,card,DE,0
T000818,29.5,2,619.41,34.96,4.74,0,card,NL,0
T000600,9.72,1,605.99,30.92,10.56,0,mobile,DE,0
T001057,28.01,3,668.91,6.1,0.39,0,online,Other,0
T000415,22.05,6,288.21,7.49,1.94,0,branch,DE,0
T000680,23.53,1,535.24,13.12,28.32,0,online,DE,0
T001519,21.69,3,511.83,1.4,5.58,1,card,ES,0
T001117,48.11,2,638.86,23.2,1.14,0,mobile,FR,0
T000280,29.8,4,277.88,10.13,14.0,0,online,Other,0
T001386,27.16,2,395.18,16.04,27.36,1,mobile,DE,0
T000409,8.62,3,761.27,7.44,19.66,1,mobile,DE,0
T001092,25.91,4,275.78,2.36,5.14,0,online,NL,0
T002283,47.36,4,332.06,24.31,3.21,0,card,DE,0
T001217,9.53,6,717.78,17.96,3.37,0,branch,DE,0
T002079,7.88,7,426.36,39.36,29.16,0,online,FR,0
T000499,8.63,6,424.59,7.52,2.12,0,mobile,DE,0
T001709,45.32,3,251.5,8.18,2.91,1,online,NL,0
T002027,35.19,3,587.99,2.77,17.09,1,online,ES,0
T000790,23.73,2,820.09,5.2,22.95,0,mobile,DE,0
T001071,23.14,4,516.97,6.01,0.69,0,online,DE,0
T002266,39.81,2,495.88,21.17,2.61,0,card,NL,0
T000436,18.49,3,551.14,10.32,19.31,0,card,DE,0
T002044,16.95,2,544.17,5.25,0.77,0,online,DE,0
T001880,10.55,3,470.96,14.01,1.35,1,card,DE,0
T000783,69.31,4,746.73,4.63,15.14,0,card,DE,0
T001477,81.68,4,725.39,23.09,32.49,1,card,NL,0
T001832,26.62,3,341.55,15.38,1.14,0,card,FR,0
T001837,29.1,2,608.79,9.97,4.86,0,mobile,FR,0
T000150,28.12,2,301.78,10.34,5.53,0,mobile,Other,0
T001195,74.71,3,344.05,36.35,5.53,0,card,Other,0
T002452,75.75,7,131.84,7.6,4.98,1,card,DE,1
T001242,14.87,1,619.61,22.23,22.04,0,card,FR,0
T001056,57.95,3,860.4,14.72,11.11,0,online,FR,0
T001770,120.94,3,484.67,20.19,16.21,3,online,NL,0
T001690,41.69,2,674.32,4.66,8.13,1,card,DE,0
T002094,40.46,3,849.87,11.11,5.49,0,card,DE,0
T002193,14.89,1,776.92,28.84,41.31,0,mobile,DE,0
T001930,38.58,1,849.66,9.47,12.47,0,card,DE,0
T000164,16.42,2,312.9,36.18,1.14,0,mobile,DE,0
T000439,18.0,3,477.11,10.19,12.59,1,card,NL,0
T001026,21.11,5,319.03,2.5,42.46,0,card,ES,0
T001383,21.66,2,658.67,4.36,15.65,0,mobile,ES,0
T001979,61.33,5,530.89,7.29,6.61,0,mobile,DE,0
T000830,5.93,5,439.04,1.75,11.06,0,card,FR,0
T000655,35.62,1,580.32,26.61,2.36,1,branch,ES,0
T000529,29.73,4,391.58,10.83,4.96,0,mobile,DE,0
T001134,55.14,6,564.24,32.57,0.31,0,card,NL,0
T000050,26.77,3,843.71,13.31,11.95,0,card,FR,0
T000068,20.0,3,536.52,14.35,20.93,1,card,DE,0
T002017,25.4,4,772.04,27.85,14.45,0,online,DE,0
T001371,11.21,2,763.48,11.64,3.29,0,online,DE,0
T002271,32.43,0,509.7,13.66,35.11,0,online,DE,0
T000049,37.46,5,806.75,12.22,4.97,0,card,DE,0
T001335,32.35,4,375.67,32.42,10.19,1,mobile,NL,0
T001682,14.67,4,692.2,2.24,1.64,0,online,NL,0
T000839,70.85,0,1154.38,12.73,7.82,0,branch,DE,0
T002163,52.75,3,530.87,1.67,4.68,0,card,ES,0
T000125,40.83,4,680.02,21.06,16.6,0,mobile,FR,0
T000611,14.6,3,482.52,5.66,23.81,0,mobile,Other,0
T001861,36.99,3,613.41,3.53,0.54,0,card,FR,0
T002333,29.77,2,700.71,12.44,3.97,0,online,DE,0
T001513,42.21,3,351.86,17.04,1.94,1,online,DE,0
T000742,49.56,3,393.22,25.2,25.13,0,card,DE,0
T000026,21.25,3,252.48,27.68,3.31,0,card,NL,0
T002389,47.83,1,470.08,18.14,1.08,0,mobile,DE,0
T001753,17.98,3,696.57,14.78,9.25,2,card,Other,0
T001534,13.59,3,897.38,2.17,4.93,0,mobile,ES,0
T001816,20.0,0,548.81,4.03,7.95,1,online,DE,0
T001617,128.1,4,1016.63,12.18,6.83,0,card,ES,0
T001455,57.8,2,557.88,6.94,4.97,0,online,DE,0
T000566,38.73,2,388.47,4.07,7.07,0,online,DE,0
T000846,31.53,2,543.68,16.21,3.91,0,branch,FR,0
T002490,56.73,6,144.68,7.71,16.31,0,card,FR,1
T001457,91.36,4,915.43,5.15,1.6,0,card,DE,0
T000362,31.84,4,511.7,13.8,3.11,1,online,ES,0
T001566,18.19,2,405.53,1.27,6.08,1,card,Other,0
T002499,17.88,5,118.22,37.25,0.57,1,online,DE,1
T002415,38.3,6,169.7,36.49,0.61,2,mobile,DE,1
T001835,35.45,2,813.58,13.34,14.42,1,card,ES,0
T001785,37.65,1,449.19,4.88,2.87,0,card,DE,0
T000431,14.55,4,441.31,5.76,9.43,0,mobile,DE,0
T002310,29.78,3,519.04,31.85,24.82,0,online,DE,0
T000638,13.98,4,245.6,7.12,9.26,0,card,DE,0
T002188,19.93,1,833.32,20.35,38.35,1,card,DE,0
T000652,23.43,3,878.69,7.21,10.3,0,card,DE,0
T000241,15.92,2,598.14,13.07,0.35,0,online,DE,0
T000694,7.47,2,792.54,41.64,34.52,0,mobile,DE,0
T000071,12.79,5,495.02,13.32,1.81,0,online,FR,0
T002233,12.71,2,931.86,27.22,20.95,0,card,DE,0
T000651,71.26,2,332.42,6.26,16.22,0,mobile,DE,0
T002019,35.52,4,763.53,14.44,2.42,0,mobile,DE,0
T000074,33.9,1,413.19,16.74,0.38,1,card,DE,0
T001164,11.26,2,441.05,20.04,8.35,1,online,NL,0
T000351,31.58,2,593.04,5.1,5.12,0,mobile,NL,0
T002290,10.81,2,365.42,25.51,11.53,0,card,NL,0
T002169,17.18,2,713.37,37.54,18.43,0,online,DE,0
T001099,44.06,1,487.53,2.95,3.76,1,card,Other,0
T001447,92.68,4,377.94,4.82,4.01,0,online,DE,0
T002329,28.31,1,551.21,26.37,3.1,2,card,ES,0
T000077,20.39,2,566.85,26.51,38.88,1,mobile,FR,0
T000433,24.0,1,479.33,8.33,3.94,1,online,ES,0
T002350,38.95,0,432.78,6.47,10.41,0,card,DE,0
