sepal_length,sepal_width,petal_length,petal_width,species,sepal_length_none,sepal_length_zscore,sepal_length_log,sepal_length_boxcox,sepal_length_yeojohnson
4.8,3.4,1.9,0.2,setosa,4.8,-0.5903475526412929,1.7578579175523736,2.00469334750791,2.050549671675283
5.0,3.0,1.6,0.2,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
5.0,3.4,1.6,0.4,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
5.2,3.5,1.5,0.2,setosa,5.2,0.5559583748175271,1.824549292051046,2.1345833318866454,2.1411344063789373
5.2,3.4,1.4,0.2,setosa,5.2,0.5559583748175271,1.824549292051046,2.1345833318866454,2.1411344063789373
4.7,3.2,1.6,0.2,setosa,4.7,-0.8769240345059967,1.7404661748405046,1.971045282611249,2.0270963155444046
4.8,3.1,1.6,0.2,setosa,4.8,-0.5903475526412929,1.7578579175523736,2.00469334750791,2.050549671675283
5.4,3.4,1.5,0.4,setosa,5.4,1.129111338546937,1.8562979903656263,2.1969206792577736,2.1846218281087464
5.2,4.1,1.5,0.1,setosa,5.2,0.5559583748175271,1.824549292051046,2.1345833318866454,2.1411344063789373
5.5,4.2,1.4,0.2,setosa,5.5,1.4156878204116408,1.8718021769015913,2.2274855032239467,2.205944439671123
4.9,3.1,1.5,0.1,setosa,4.9,-0.30377107077658666,1.7749523509116738,2.0378548744076173,2.073670147413659
5.0,3.2,1.2,0.2,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
5.5,3.5,1.3,0.2,setosa,5.5,1.4156878204116408,1.8718021769015913,2.2274855032239467,2.205944439671123
4.9,3.1,1.5,0.1,setosa,4.9,-0.30377107077658666,1.7749523509116738,2.0378548744076173,2.073670147413659
4.4,3.0,1.3,0.2,setosa,4.4,-1.7366534801001103,1.6863989535702288,1.8669993071745141,1.954628579323107
5.1,3.4,1.5,0.2,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
5.0,3.5,1.3,0.3,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
4.5,2.3,1.3,0.3,setosa,4.5,-1.4500769982354065,1.7047480922384253,1.9022176004931517,1.979147371029878
4.4,3.2,1.3,0.2,setosa,4.4,-1.7366534801001103,1.6863989535702288,1.8669993071745141,1.954628579323107
5.0,3.5,1.6,0.6,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
5.1,3.8,1.9,0.4,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
4.8,3.0,1.4,0.3,setosa,4.8,-0.5903475526412929,1.7578579175523736,2.00469334750791,2.050549671675283
5.1,3.8,1.6,0.2,setosa,5.1,0.2693818929528208,1.8082887711792655,2.1027844284548425,2.1189529713391058
4.6,3.2,1.4,0.2,setosa,4.6,-1.1635005163707028,1.7227665977411035,1.936892957142629,2.003299318187875
5.3,3.7,1.5,0.2,setosa,5.3,0.8425348566822307,1.840549633397487,2.165957573515465,2.1630211922717786
5.0,3.3,1.4,0.2,setosa,5.0,-0.017194588911882934,1.791759469228055,2.0705466164253474,2.0964679911549116
