CUSTOMERID,AGE,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT
201,47,27,113,2.381,8.015
202,38,0,21,0.612,0.354
203,22,1,25,1.977,1.473
204,39,8,21,0.276,0.564
205,45,8,27,0.416,0.286
206,51,10,44,4.96,0.848
207,33,10,26,0.031,0.775
208,43,25,242,1.636,4.656
209,40,22,95,0.633,2.787
210,27,2,23,0.32,0.991
211,31,11,25,0.141,2.134
212,34,10,48,0.264,2.184
213,37,9,57,1.357,1.778
214,44,18,78,0.565,0.215
215,42,3,24,0.667,1.877
216,25,3,16,1.011,1.837
217,39,7,68,1.017,7.823
218,26,1,64,7.754,7.158
219,36,19,45,0.92,4.525
220,48,15,60,0.321,0.939
221,21,0,21,0.488,2.137
222,40,17,116,2.561,4.399
223,31,9,30,0.602,1.138
224,23,0,23,0.468,1.073
225,31,6,21,0.729,1.014
226,31,7,23,0.225,0.902
227,50,18,102,5.782,8.6
228,29,1,31,0.156,2.324
229,37,5,29,1.405,5.729
230,46,16,52,3.032,3.676
231,39,9,35,0.233,1.517
232,34,14,28,1.138,3.622
233,27,11,56,4.637,4.827
234,23,6,15,1.375,0.53
235,41,24,83,6.589,5.031
236,29,1,18,0.03,0.168
237,44,19,40,0.344,4.016
238,24,0,15,0.321,2.094
239,32,9,51,2.686,9.044
240,23,3,34,0.262,1.234
241,31,4,28,0.291,2.873
242,36,15,39,0.686,0.562
243,25,3,31,0.881,1.63
244,26,10,32,0.126,1.378
245,43,4,26,0.751,1.095
246,47,29,169,0.349,3.369
247,43,10,69,0.411,4.005
248,37,18,54,4.593,1.941
249,35,10,45,1.04,2.785
250,28,1,26,0.377,2.847
251,28,8,30,0.613,1.547
252,26,2,37,0.205,5.049
253,39,10,31,0.185,1.303
254,34,3,21,1.402,3.449
255,51,16,82,2.605,1.003
256,28,3,41,5.897,4.394
257,39,20,39,0.774,2.424
258,23,3,19,0.279,1.317
259,23,3,13,0.046,0.357
260,21,4,26,1.421,0.893
261,40,3,23,0.409,1.178
262,26,1,92,6.506,5.454
263,32,12,54,3.196,4.58
264,29,3,50,0.259,0.941
265,43,25,64,0.951,9.737
266,55,3,40,0.563,2.637
267,30,12,40,1.249,1.551
268,38,15,63,5.091,3.351
269,40,2,28,0.185,1.803
270,43,12,38,0.129,1.239
271,35,1,24,0.591,2.409
272,24,8,24,0.382,0.818
273,35,11,40,0.572,0.588
274,39,18,47,1.565,2.007
275,41,5,25,0.393,2.157
276,28,2,17,0.199,0.226
277,24,2,28,1.787,3.057
278,40,3,55,1.751,7.324
279,29,8,27,0.402,2.244
280,26,4,28,0.226,2.434
281,27,5,26,0.13,0.182
282,50,30,150,13.552,35.198
283,41,15,120,2.659,0.821
284,26,0,14,0.256,1.214
285,48,22,100,3.704,5.396
286,35,1,24,0.417,1.455
287,35,15,77,5.501,2.661
288,23,7,31,0.338,1.708
289,39,20,101,0.341,1.073
290,38,21,58,4.584,4.986
291,30,4,33,0.5,0.886
292,44,8,43,0.555,1.595
293,33,0,23,0.077,0.13
294,34,15,39,4.373,5.26
295,27,6,34,0.238,1.258
296,30,1,22,1.139,1.171
297,27,1,20,0.377,1.683
298,29,9,30,0.155,2.305
299,25,1,34,0.133,2.757
300,41,23,91,0.573,11.894
301,42,11,73,2.869,2.095
302,38,12,64,0.895,2.817
303,23,5,17,0.302,1.041
304,33,2,24,1.041,1.263
305,31,2,22,1.739,1.869
306,37,6,62,1.186,4.084
307,40,10,45,2.013,6.447
308,31,3,16,3.065,2.103
309,35,3,40,1.803,5.077
310,38,6,41,0.266,3.383
311,30,8,56,0.333,3.251
312,30,1,17,0.746,1.124
313,44,2,22,1.092,1.02
314,29,3,15,0.147,0.243
315,39,19,45,0.916,0.749
316,26,0,17,0.142,0.708
317,36,5,27,0.724,1.166
318,31,0,27,1.089,2.367
319,38,12,40,0.898,1.142
320,38,0,23,0.898,0.965
321,41,13,91,2.316,20.616
322,41,2,30,0.113,1.897
323,45,5,94,3.612,6.258
324,24,4,23,0.242,0.885
325,22,4,16,0.084,0.108
326,34,13,56,0.864,2.552
327,25,0,18,0.514,2.888
328,29,6,18,0.45,0.468
329,35,13,105,1.418,0.577
330,39,19,48,1.93,4.358
331,34,17,59,1.808,2.912
332,44,21,113,3.192,11.724
333,23,0,21,0.776,1.618
334,46,6,31,1.986,1.796
335,41,9,47,0.437,1.913
336,52,9,24,0.802,3.806
337,23,1,17,0.012,0.26
338,48,28,70,4.334,4.066
339,35,10,24,1.084,4.028
340,53,16,44,1.333,1.131
341,39,11,39,2.561,2.47
342,37,20,56,0.543,0.521
343,34,12,32,0.239,0.625
344,49,2,20,0.379,3.001
345,39,23,75,3.133,11.042
346,42,7,41,0.941,0.945
347,28,1,16,0.574,1.778
348,27,5,75,2.207,2.518
349,24,2,21,0.025,0.101
350,34,5,33,0.778,1.631
351,47,31,136,14.231,17.185
352,26,1,27,0.312,0.471
353,35,17,42,0.093,1.167
354,31,6,33,0.146,1.24
355,29,13,27,0.069,0.552
356,44,9,33,0.546,1.17
357,40,13,102,6.227,13.051
358,36,1,30,0.324,3.126
359,32,6,22,0.385,1.089
360,21,1,18,0.159,2.955
361,42,15,186,2.404,4.292
362,37,4,20,0.174,4.166
363,24,6,21,0.108,0.984
364,24,0,29,0.59,1.324
365,46,4,73,2.223,1.719
366,28,2,16,0.871,1.561
367,41,16,68,0.448,3.224
368,46,15,126,0.477,3.429
369,51,22,120,4.14,4.98
370,36,17,54,0.727,1.649
371,25,1,20,0.472,0.868
372,27,3,33,1.634,2.722
373,43,23,72,1.182,4.29
374,53,6,27,0.594,1.134
375,32,4,16,0.894,3.666
376,36,0,25,2.778,2.147
377,29,9,30,3.646,2.864
378,35,18,42,0.205,2.903
379,32,0,18,0.296,0.748
380,25,1,14,0.233,1.153
381,42,2,30,1.472,1.438
382,25,9,20,0.105,0.595
383,20,0,17,0.044,0.347
384,50,4,23,0.141,2.734
385,46,22,144,3.325,12.659
386,33,15,32,0.491,1.941
387,43,19,79,0.782,5.143
388,30,4,21,0.492,3.351
389,34,3,36,0.624,1.068
390,37,3,25,0.276,0.649
391,38,4,19,1.245,1.339
392,32,11,57,5.44,8.126
393,39,15,39,0.14,0.562
394,31,7,41,2.996,9.591
395,25,5,22,0.403,1.995
396,31,12,44,1.867,2.357
397,29,0,23,1.242,0.598
398,45,21,132,2.558,1.402
399,39,4,38,1.178,1.292
400,34,4,23,0.617,0.671
401,24,3,24,2.173,2.411
402,30,10,19,0.336,0.5
403,30,0,19,0.624,2.53
404,27,0,18,0.583,1.721
405,31,5,25,1.177,2.348
406,47,9,52,2.54,7.912
407,47,4,33,1.195,1.148
408,45,15,51,1.551,7.68
409,31,7,97,1.827,3.993
410,45,7,29,0.739,1.03
411,29,12,40,1.632,1.048
412,36,12,60,1.721,3.019
413,29,10,44,3.703,4.261
414,39,2,22,1.916,3.166
415,22,0,35,0.781,2.369
416,46,14,35,1.349,2.221
417,38,21,65,2.533,8.387
418,37,1,24,1.801,1.823
419,42,12,51,2.412,8.502
420,36,4,25,0.144,0.856
421,34,18,53,0.84,4.725
422,38,12,63,5.715,4.365
423,27,11,21,0.915,1.479
424,35,9,30,0.65,1.63
425,48,10,70,10.679,9.061
426,45,18,35,0.548,5.542
427,43,4,29,0.053,1.281
428,54,9,28,1.558,2.586
429,35,7,38,1.383,4.355
430,28,4,19,0.287,0.492
431,39,16,52,4.16,6.24
432,43,8,32,1.234,4.846
433,32,2,15,0.119,1.246
434,22,0,18,0.478,0.908
435,41,18,71,6.566,4.581
436,34,4,25,0.57,0.88
437,34,9,27,0.295,0.164
438,31,1,24,0.217,0.863
439,55,19,78,4.405,7.763
440,40,21,46,0.967,1.885
441,41,13,44,0.071,0.677
442,43,10,37,0.676,2.469
443,36,6,26,0.03,2.128
444,51,31,249,4.273,15.149
445,40,17,55,2.126,4.144
446,27,5,42,2.708,5.65
447,36,11,49,0.273,0.364
448,38,5,54,1.5,4.224
449,47,17,43,0.588,1.82
450,33,13,42,0.228,1.284
451,41,12,86,4.991,17.799
452,33,9,29,1.349,2.653
453,21,0,26,1.53,0.472
454,34,0,21,0.187,1.325
455,51,27,166,0.821,18.269
456,36,0,30,0.329,2.581
457,23,0,17,2.044,2.665
458,34,4,28,1.058,1.574
459,29,7,22,0.551,1.583
460,46,9,60,1.606,7.574
461,45,2,39,0.459,1.452
462,41,17,176,11.359,5.009
463,28,4,16,1.085,2.723
464,37,6,29,1.716,3.011
465,25,8,35,0.077,0.938
466,48,0,19,0.85,1.202
467,37,12,83,0.32,3.083
468,32,3,23,0.053,1.373
469,31,15,60,0.804,2.076
470,48,14,59,4.936,4.799
471,45,22,91,1.256,9.391
472,41,6,36,1.486,3.518
473,39,19,46,2.516,1.67
474,41,19,96,2.254,5.234
475,50,15,60,0.468,0.192
476,22,0,23,0.373,1.559
477,43,6,54,0.622,4.562
478,33,8,27,0.777,0.789
479,29,11,32,0.927,0.993
480,24,3,21,2.682,3.387
481,27,6,52,1.902,5.274
482,37,1,33,2.694,2.619
483,34,8,78,2.157,2.055
484,22,1,17,0.806,2.356
485,41,4,25,1.06,1.464
486,32,7,32,0.433,0.943
487,35,15,40,1.214,6.186
488,41,24,100,5.06,6.44
489,21,1,16,0.242,2.638
490,23,2,25,0.124,1.001
491,25,6,22,2.262,2.182
492,40,12,89,2.772,12.714
493,38,11,35,1.266,1.534
494,49,14,63,0.936,9.018
495,40,13,28,0.965,0.687
496,29,1,25,0.569,2.031
497,25,3,18,0.352,2.582
498,33,14,72,15.017,14.719
499,37,11,47,1.597,2.915
500,24,1,18,0.239,0.823
501,29,4,37,1.16,1.282
502,28,0,29,2.148,1.709
503,37,15,108,5.251,7.493
504,47,27,107,1.638,4.889
505,31,2,26,0.283,1.485
506,28,5,44,0.773,3.055
507,39,15,32,0.422,1.146
508,33,2,35,2.124,5.891
509,41,19,68,1.507,2.437
510,29,1,29,2.33,3.818
511,31,2,22,1.092,1.702
512,28,0,38,0.636,3.316
513,35,0,34,1.37,2.404
514,54,25,120,14.596,17.204
515,39,19,53,0.19,1.771
516,46,9,31,1.617,2.661
517,23,3,22,1.274,1.234
518,28,6,38,0.774,1.962
519,24,3,15,0.073,1.622
520,41,7,63,4.638,5.064
521,43,9,60,4.039,8.201
522,27,3,35,1.601,3.054
523,33,4,22,0.566,0.644
524,28,2,18,1.939,0.725
525,48,13,38,0.722,3.382
526,35,1,20,0.853,0.727
527,31,11,28,0.345,0.999
528,42,14,48,1.201,2.927
529,29,1,18,1.981,2.627
530,36,4,17,0.521,2.42
531,29,4,24,0.867,1.005
532,31,12,31,2.057,5.29
533,43,18,446,16.031,12.959
534,41,13,93,9.542,4.129
535,31,9,28,0.048,0.624
536,31,6,45,0.585,2.7
537,28,2,23,0.187,1.285
538,35,7,29,0.264,1.157
539,38,5,21,0.45,1.44
540,40,14,43,2.793,3.657
541,39,20,116,2.24,2.516
542,38,8,38,0.029,0.199
543,27,4,40,0.284,0.956
544,49,11,39,2.458,1.481
545,38,18,45,0.536,2.614
546,43,16,89,0.159,0.197
547,36,9,49,0.818,3.396
548,37,4,23,0.87,1.982
549,46,22,99,0.827,1.45
550,22,0,20,0.207,0.913
551,47,13,51,3.739,8.399
552,47,16,266,2.192,3.128
553,30,2,25,1.77,0.73
554,51,19,159,1.068,3.384
555,28,10,42,1.047,2.565
556,50,6,21,1.317,1.392
557,43,24,254,7.002,12.556
558,46,9,15,0.015,0.63
559,29,7,20,1.006,2.954
560,26,1,21,0.608,0.421
561,45,14,46,1.262,1.084
562,39,22,52,1.155,0.509
563,30,10,22,1.41,2.132
564,41,7,56,0.374,7.746
565,25,4,27,0.549,0.801
566,34,16,48,1.474,2.174
567,44,7,78,3.153,5.037
568,25,4,23,0.252,0.944
569,39,20,67,3.834,16.668
570,26,4,20,0.319,0.761
571,31,8,41,0.134,5.032
572,40,5,220,8.166,27.034
573,42,6,31,1.025,2.571
574,23,1,21,1.21,0.554
575,34,9,48,0.42,4.044
576,28,0,29,1.425,5.593
577,29,6,21,1.11,2.691
578,29,3,26,0.538,1.048
579,24,2,26,0.888,1.634
580,53,9,50,2.016,3.584
581,39,19,60,9.593,6.667
582,28,2,41,0.459,0.566
583,38,16,37,0.083,3.099
584,39,12,46,0.561,1.739
585,38,18,44,0.606,1.374
586,34,6,27,1.982,7.549
587,31,11,45,2.739,4.911
588,40,2,32,0.854,0.33
589,32,8,26,0.326,0.74
590,35,12,64,1.45,8.15
591,29,3,32,1.071,1.809
592,44,12,86,1.476,9.704
593,48,9,44,2.134,0.462
594,41,6,36,4.514,2.506
595,28,0,28,2.284,7.04
596,29,3,23,1.104,1.035
597,24,1,16,0.878,0.274
598,25,9,18,0.066,0.15
599,43,16,83,0.259,3.144
600,45,12,37,1.343,2.172
601,35,13,35,0.432,1.143
602,34,13,51,1.875,3.021
603,29,2,14,0.587,1.429
604,32,11,75,7.759,9.716
605,27,6,26,0.93,1.774
606,39,16,57,1.559,9.499
607,37,2,29,2.782,1.684
608,31,1,29,1.065,2.154
609,28,4,28,0.437,3.539
610,27,8,38,0.364,2.258
611,31,8,27,0.674,0.784
612,31,9,26,0.31,0.86
613,32,0,20,0.263,0.337
614,29,9,36,0.127,0.377
615,31,9,53,1.195,5.96
616,32,5,43,1.806,4.644
617,39,6,42,2.541,5.817
618,27,7,30,0.448,0.752
619,29,13,42,1.458,1.65
620,31,11,34,0.298,2.014
621,41,22,75,9.877,7.823
622,30,1,27,1.275,2.046
623,35,0,22,1.97,1.33
624,38,2,22,1.209,3.785
625,29,1,17,0.157,0.982
626,37,7,32,2.697,3.575
627,26,8,25,0.21,0.965
628,27,0,16,0.13,0.046
629,42,18,66,1.641,4.695
630,45,8,140,4.184,15.276
631,51,15,26,2.012,1.524
632,36,10,28,0.815,2.321
633,48,17,66,1.468,0.644
634,45,10,52,0.932,1.876
635,47,16,110,5.821,8.039
636,26,6,22,0.721,1.545
637,35,12,30,1.899,2.721
638,50,10,80,2.479,7.281
639,30,11,33,0.682,2.09
640,49,22,79,0.288,5.479
641,36,1,16,0.433,1.055
642,24,3,19,0.359,0.458
643,42,6,190,3.157,11.663
644,28,0,30,0.121,1.319
645,52,12,76,0.995,4.857
646,39,9,56,4.765,5.707
647,40,15,138,1.222,4.436
648,29,0,22,1.039,1.799
649,40,8,28,0.534,0.474
650,27,10,34,0.851,1.359
651,24,2,16,0.27,0.754
652,26,5,28,1.024,1.16
653,40,16,116,1.614,12.422
654,50,16,71,1.663,6.218
655,30,0,20,0.622,0.458
656,26,6,30,0.144,0.156
657,35,10,28,0.11,0.254
658,37,16,50,7.32,10.98
659,52,9,70,1.329,5.251
660,24,5,46,0.53,1.218
661,28,3,26,0.432,2.168
662,29,6,57,0.453,0.801
663,35,11,77,1.1,2.519
664,54,18,114,3.295,6.395
665,32,10,32,1.168,2.448
666,32,11,53,0.089,1.66
667,36,14,81,1.785,4.047
668,31,12,24,0.442,1.142
669,28,11,24,0.107,0.469
670,34,10,33,2.502,0.897
671,53,7,61,1.875,2.944
672,50,8,47,0.399,2.844
673,52,13,234,7.387,10.631
674,30,4,15,0.35,0.625
675,26,0,28,1.271,1.333
676,42,21,121,1.365,2.386
677,27,6,43,0.883,1.224
678,41,14,52,0.926,2.87
679,27,10,31,1.362,4.001
680,32,12,33,0.795,2.901
681,37,12,44,2.995,3.473
682,29,3,17,0.47,1.06
683,27,9,45,2.852,5.158
684,50,25,94,1.734,3.248
685,21,0,24,0.833,1.015
686,41,14,44,0.353,0.395
687,23,1,18,0.885,2.481
688,45,9,69,0.707,3.916
689,45,2,29,0.443,1.123
690,33,6,21,0.567,1.008
691,21,1,16,0.141,0.867
692,40,6,36,0.391,0.365
693,40,3,28,0.553,2.107
694,56,11,59,4.673,4.177
695,26,2,22,0.237,1.171
696,29,6,46,1.17,1.314
697,29,6,65,1.985,9.975
698,39,13,27,0.966,1.194
699,27,1,23,0.285,2.567
700,25,1,15,0.371,1.339
701,36,5,20,0.729,0.891
702,35,7,39,1.702,4.577
703,25,4,33,0.553,1.163
704,21,2,20,0.291,0.609
705,23,2,16,0.805,0.731
706,32,14,73,3.752,2.672
707,34,0,20,2.049,1.371
708,38,5,20,0.092,0.208
709,39,22,73,3.727,6.712
710,46,1,21,1.377,1.731
711,35,10,98,4.875,8.159
712,33,9,28,0.377,0.827
713,30,12,68,2.857,10.811
714,54,21,118,9.6,7.392
715,42,5,41,0.355,1.039
716,28,9,22,5.283,0.811
717,35,9,34,0.398,1.302
718,41,16,135,1.277,4.663
719,41,16,49,0.431,0.353
720,53,5,78,6.936,6.558
721,28,4,26,1.295,2.215
722,35,5,32,0.175,3.985
723,42,7,25,1.629,0.921
724,33,11,35,0.506,5.059
725,27,0,50,1.044,6.306
726,48,30,148,3.975,6.681
727,33,2,44,0.525,0.839
728,37,6,31,1.701,1.926
729,31,5,23,0.046,0.414
730,35,10,39,1.602,2.454
731,48,6,66,2.316,5.67
732,34,16,75,3.955,3.845
733,23,2,48,0.511,3.089
734,41,8,43,0.086,0.215
735,52,33,139,2.288,5.496
736,39,6,61,0.563,2.914
737,46,1,20,0.809,1.991
738,33,4,55,2.16,1.69
739,34,2,39,1.143,4.005
740,34,12,47,1.301,1.848
741,40,9,33,4.881,0.729
742,45,16,80,0.912,1.488
743,25,1,19,0.19,1.121
744,31,6,32,3.341,4.051
745,34,7,40,0.95,1.61
746,45,23,50,0.559,1.541
747,44,17,129,0.551,2.674
748,35,13,42,0.769,6.623
749,22,0,14,0.242,2.152
750,26,3,40,1.896,2.424
751,38,6,18,0.131,2.209
752,27,7,26,0.641,1.725
753,29,11,36,0.709,1.487
754,29,5,28,2.126,3.11
755,22,4,24,1.636,2.108
756,47,4,26,0.122,2.582
757,27,5,25,0.706,0.994
758,24,2,18,0.528,0.552
759,52,17,73,1.054,5.297
760,26,3,29,2.527,4.926
761,40,22,100,5.402,9.198
762,33,12,58,3.084,7.588
763,30,0,17,0.304,1.736
764,39,16,69,1.061,0.595
765,24,0,16,0.025,1.143
766,27,0,70,1.618,3.982
767,38,7,64,0.651,1.269
768,36,9,40,1.976,1.944
769,39,4,33,0.397,1.913
770,43,13,76,2.151,2.485
771,24,8,17,0.569,0.383
772,21,5,25,0.367,1.883
773,26,2,24,1.577,1.687
774,43,11,37,0.18,0.301
775,36,11,44,0.446,6.022
776,43,15,62,0.694,5.134
777,35,11,62,9.703,10.385
778,34,10,33,0.574,2.561
779,47,17,41,0.456,3.439
780,48,0,30,2.663,4.027
781,29,9,46,0.241,0.495
782,36,7,43,1.04,1.626
783,35,10,39,0.218,2.005
784,39,13,38,1.897,1.485
785,41,21,76,6.949,8.631
786,29,1,30,0.279,1.071
787,39,18,44,0.368,0.556
788,33,12,32,2.105,1.511
789,33,8,27,1.646,1.0
790,39,0,39,1.066,2.015
791,40,8,57,0.878,2.314
792,53,33,324,7.053,15.627
793,34,15,67,3.741,5.103
794,29,7,84,6.912,4.512
795,30,0,17,0.447,0.182
796,38,3,25,0.312,0.613
797,25,0,24,1.597,1.307
798,26,6,35,0.086,0.579
799,25,5,35,1.969,3.806
800,29,8,24,0.47,1.138
801,28,5,22,0.14,0.476
802,48,30,101,1.875,4.589
803,26,0,14,0.302,0.748
804,36,4,23,1.327,2.422
805,30,12,38,0.171,3.059
806,41,1,19,0.242,0.594
807,34,13,52,1.497,3.287
808,25,3,54,1.163,2.833
809,45,17,62,2.437,6.863
810,22,4,19,1.887,2.502
811,32,13,25,0.596,1.279
812,21,1,17,0.555,1.23
813,34,6,20,0.042,0.198
814,31,10,49,3.237,1.565
815,33,7,22,0.631,0.777
816,40,2,36,0.278,1.09
817,36,6,27,0.262,0.98
818,30,2,26,0.249,0.739
819,35,0,35,2.383,1.957
820,36,7,40,1.695,2.265
821,37,4,24,0.419,2.989
822,32,16,38,0.694,7.286
823,45,3,20,0.105,0.315
824,27,0,25,1.419,1.756
825,41,4,26,1.473,3.519
826,32,12,116,4.027,2.585
827,48,13,50,6.114,9.286
828,50,1,26,1.852,1.866
829,45,0,22,0.03,0.894
830,33,2,37,0.834,0.831
831,33,13,52,2.714,8.362
832,27,8,18,0.401,1.741
833,36,7,43,2.649,3.973
834,30,7,30,0.264,4.446
835,28,3,36,0.384,2.712
836,21,0,41,2.367,5.628
837,23,3,24,0.552,0.96
838,23,7,22,0.849,2.319
839,26,10,25,1.306,0.469
840,31,8,22,0.37,1.104
841,38,13,25,0.343,1.082
842,29,7,63,0.572,2.893
843,32,14,36,0.273,0.591
844,32,8,45,0.982,0.683
845,41,7,43,0.694,1.198
846,27,5,26,0.548,1.22
847,28,7,34,0.359,2.021
848,25,0,18,2.802,3.21
849,32,12,28,0.116,0.696
850,52,16,64,1.866,3.638
